cell_id,normalized_marker_sum,post_patch,cell_depth,number_genes,rna_amp_pass_fail,subclass,class,normalized_marker_sum_bin,amplified_quantity_ng,percent_cdna_longer_than_400bp,SLC17A6,SLC17A7,GLP2R,RORB,GAD1,SST,CALB1,PVALB,WFDC2,VIP,CALB2,morpho_call,endpipetter,Berg_etal_2020
839897427,1.30345262,nucleus+,47.1,10766,Pass,LAMP5/PAX6/Other,inhibitory,,17.40123071,63.7,0,0,0,214.6920571,899.7647018,386.229932,0,0,15.10396382,0,183.405275,failed,1959.183738,FALSE
839918826,1.182129239,nucleus+,46.2,10973,Pass,LAMP5/PAX6/Other,inhibitory,1.2,16.63982875,62.5,0,0,0,0,296.8675649,197.1972272,0,0,0,0,0,failed,2528.978275,FALSE
654144568,1.047214978,nucleus+,53.1,7694,Pass,LAMP5/PAX6/Other,inhibitory,1.1,14.12080948,81.5,0,0,0,100.0077784,351.8792202,24.69327861,0,0,0,0,67.90651619,failed,1357.058938,FALSE
840146916,0.945765469,nucleus+,72.3,8951,Pass,LAMP5/PAX6/Other,inhibitory,1,14.63951601,71.5,0,21.85510068,0,82.45333439,432.1349453,105.3018487,0,0,8.940723006,0,0,medium quality,4116.639872,FALSE
653907140,0.777363504,nucleus+,29.7,5741,Pass,LAMP5/PAX6/Other,inhibitory,0.8,11.80859886,33.1,0,0,0,0,69.03145925,2802.383495,0,0,0,0,0,failed,4.898448558,FALSE
654341386,0.977692325,nucleus+,25.8,6735,Pass,LAMP5/PAX6/Other,inhibitory,1,15.10561776,83.2,0,0,0,13.58504481,944.160614,41.72549476,0,0,76.65846712,0,241.6197255,high quality,1080.058064,FALSE
721688585,1.112489513,nucleus+,41.9,10548,Pass,LAMP5/PAX6/Other,inhibitory,1.2,12.93614054,68.9,0,0,0,0,1178.448243,0,0,0,0,0,0,high quality,1249.378156,FALSE
811837476,0.949427265,nucleus+,48.3,14047,Pass,LAMP5/PAX6/Other,inhibitory,1,31.55859231,72.8,0,0,0,0,372.2008802,9.023051641,0,0,0,0,74.44017604,failed,1679.496518,FALSE
832614788,0.597149523,nucleus+,46.8,13403,Pass,LAMP5/PAX6/Other,inhibitory,0.6,59.7329149,75.4,0,3.309554187,0,21.51210221,24.8216564,6.619108373,0,0,0,0,0,high quality,,FALSE
835572687,1.274930031,nucleus+,37.1,12327,Pass,LAMP5/PAX6/Other,inhibitory,,15.86020358,59.3,0,0,0,116.0607843,565.655473,52.95977536,0,0,0,0,34.93091566,high quality,1533.546323,FALSE
