"Astro_on","CR_on","Endo_on","L2.3.IT_on","L4_on","L5.IT_on","L5.PT_on","L6.CT_on","L6.IT_on","L6b_on","Lamp5_on","Macrophage_on","Meis2_on","NP_on","Oligo_on","Peri_on","Pvalb_on","Serpinf1_on","SMC_on","Sncg_on","Sst_on","Vip_on","VLMC_on","Astro","Endo","GABAergic","Glutamatergic","Macrophage","Oligo","Peri","SMC","VLMC"
"Aqp4","Nhlh2","Wfdc1","Rtn4rl2","Sv2b","Satb2","Itpka","Hs3st2","Gm2694","Drd1","Dlx1as","Cx3cr1","Gng4","Etv1","Gatm","Igfbp7","Kcnc2","Sp8","Des","Npy","Elfn1","Asic4","Cfh","Lcat","Tek","A530058N18Rik","Nrn1","Aif1","Hapln2","Trpc3","Ccdc3","Enpp1"
"Bcan","Slc17a6","Pecam1","Kcnv1","Pamr1","Il1rapl2","Egr4","Ipcef1","Itpka","Cidea","Sema3c","Gpr34","Dlx5","Amigo2","Mog","Slc6a20a","Sox6","Tnfaip8l3","Ptrf","Igf1","Sox6","Calb2","Gjb2","Fgfr3","Eltd1","Htr3a","Dkkl1","Spi1","Cercam","X5033404E19Rik","Olfr78","Islr"
"Pla2g7","Ebf3","Gpr116","Bdnf","Slc17a6","Rtn4r","Slc17a7","Ramp3","Kcnv1","Fezf2","Tnnt1","Aif1","Cpne6","Grp","Ptgds","Pla1a","A330050F15Rik","Synpr","Mylk","Kcnip1","Arx","LOC102632463","Ifitm3","Gm33002","Kdr","Sp8","Bdnf","Ly86","C030029H02Rik","Enpep","Palld","Gpr182"
"Slc39a12","Fam159b","Id1","Meis2","Bdnf","LOC101056001","Parm1","Sv2b","Tesc","Hs3st2","Reln","Pld4","Pbx3","Cd24a","Cercam","Tm4sf1","Slc6a1","Rgs8","Tinagl1","Synpr","Mafb","Dlx1as","Efemp1","Slc7a10","Paqr5","Kcnmb2","Rtn4rl2","Trem2","Sec14l5","P2ry14","Nexn","Bmp6"
"Hepacam","Dach1","Ifitm3","Sv2b","Coch","Rtn4rl2","Tmem163","Nptx1","X3110035E14Rik","Nptx1","Tnfaip8l3","Unc93b1","Lgr5","Gm11549","Cnp","Ifitm3","Kcnmb2","Sema3c","Filip1l","Lppr1","Rpp25","Cxcl14","Colec12","Etnppl","Robo4","Dlx6","Rtn4r","Gpr34","Mag","Stc1","Sh3bgr","Gjb2"
"Lcat","Thsd7b","Paqr5","Slc17a7","Whrn","Gm11549","Bhlhe40","Tbr1","Rtn4r","Gm11549","Nxph1","X4632428N05Rik","Pcp4l1","Plcxd2","Plekhb1","Pdgfrb","Tcap","Necab2","Rbpms","Rgs12","Kcnip1","Fstl5","Gjb6","Phkg1","Abcb1a","Npy","Nefm","Pld4","Zfp488","Sod3","Fbxl22","Ptgdr"
"Cmtm5","Cxcl12","Tek","Nefl","Igfn1","Nptx2","Rtn4rl2","Nrn1","Hs3st2","Atp6ap1l","Grik1","Trem2","Rpp25","Vwc2l","Hepacam","Mgp","Nog","E530001K10Rik","Mcam","Kctd12","Kctd8","Rpp25","Slc22a6","Nat8","Degs2","Cort","Lingo1","Selplg","Cldn11","Pth1r","Mustn1","Crabp2"
"Fam107a","Ankrd35","Fn1","BC030499","Arc","Nefl","Gm2164","Syt6","Lingo1","Lhfpl3","Pde11a","Selplg","Grm2","Slc17a7","Mag","Hspb1","Cntnap4","Nt5dc2","Igfbp7","Cnr1","Cort","Slc6a1","Cped1","Mir6390","Gm694","Galntl6","Cecr6","Laptm5","St18","Ptpn22","Lmod1","Ccl19"
"Ppap2b","Igsf9","Lsr","Gm11549","Rtn4r","X3110035E14Rik","Nefm","Gadd45a","Satb2","Gabra5","Crispld1","Rnase4","Dlx1","Slc17a8","S100a13","Mfge8","Arx","Enpp2","Gm13861","Cadps2","Rab3b","Slc32a1","Bgn","Entpd2","Cyyr1","Sp9","Emx1","Hpgds","Matn4","Ggt5","Lrrc10b","Serpinf1"
"Dbx2","Tmem176b","Emcn","Gsg1l","Plcxd2","Nptx1","Gm19744","Rprml","Sema3e","Cckbr","Igf1","Ltc4s","X1700019L22Rik","Spon1","Gal3st1","Rarres2","Cntnap5c","Pcdh20","Hspb1","Npas3","Dlx5","Tac2","Lum","Ntsr2","Grrp1","A330050F15Rik","Satb2","Cd53","Plxnb3","LOC105246561","Marveld1","Efemp1"
"Slc25a18","Fibin","Nostrin","Slc30a3","Adcyap1","Rprml","Gm34583","Ano3","Cdh9","Clic5","Ndnf","AF251705","Syt6","LOC105244376","Phldb1","Atp1a2","Slc32a1","Prox1","Mgp","Col25a1","Slc32a1","Adra1b","Sparc","Cbs","Pecam1","Btbd11","Ovol2","P2ry12","Ninj2","LOC105245647","Tpm2","Asgr1"
"Slc38a3","Nr2f2","Itm2a","Syt17","Satb2","Tbr1","Nefl","Nxph3","Cck","Satb2","Slc32a1","Siglech","Adamts19","Mgat4c","S100a1","Gng11","Rbp4","Slc6a1","Serping1","Fgf1","Slc6a1","Zcchc12","Ogn","Chrdl1","Fgd5","Gjd2","Exph5","Cd86","X1700047M11Rik","Zbtb43","Jph2","Kl"
"Btbd17","Nrn1","Anxa3","BC048546","Cux2","Ankrd33b","Rprml","Itpka","Nptx1","Gadd45a","Cox6a2","P2ry13","G630016G05Rik","Stard5","Trf","Cald1","Gpr176","Htr3a","Mfge8","Dlx5","Kcnc2","Sorcs3","Nupr1","Gldc","Podxl","Cox6a2","Rprml","Fcgr2b","Tmem88b","LOC105243058","Hspb2","Fbln5"
"Tlcd1","Cxcr4","Sox18","Egr3","Neurod1","Cobl","Rbm24","Nefm","Ovol2","Tbr1","Parm1","Cyth4","Nrip3","Slit1","Cldn11","Slc38a11","Tmem132c","Tcerg1l","Lmod1","Pcdh20","Klf5","Grpr","Slc1a3","Bmpr1b","Ctla2a","Cntnap3","Ipcef1","Itgam","Gjc2","Gm36416","LOC105245211","Osr1"
"Fgfr3","Cacna2d1","Icam2","Rtn4r","Slc17a7","Sstr2","Cdh8","Pdlim1","Mas1","Oprm1","Kcnip1","Emr1","Sp9","Tmem159","Ermn","Ppp1r14a","Gpr83","Cacng5","Gja4","A530058N18Rik","Npas1","Kcnip1","Atp1a2","Slc39a12","Ocln","BC030500","Neurod1","Hmha1","Neu4","Gm30316","Wtip","Slc6a13"
"Atp1a2","Ramp1","Sparc","Lingo1","Fam19a1","Cd34","Tekt5","Serinc2","Igsf21","Pdlim1","Zfp536","Txnip","Gpsm1","Glra2","Myrf","Ace2","Mafb","Cd24a","S100a11","Fstl5","Reln","Cpne7","Gja1","Dbx2","X8430408G22Rik","Lhx6","Slc17a6","P2ry6","LOC105243044","Arhgap42","Gm3646","Col13a1"
"Ptprz1","Clstn2","Klf2","Nwd2","Nefm","Gpr88","X3110035E14Rik","Nefl","Neurod2","X1700001L19Rik","Pld5","Trf","Calb2","Sla2","Tsc22d4","Atp2a3","Kcns3","Cnr1","Gng11","Tac2","Dlx1","Gm14204","Slc7a11","AI464131","Tmem252","Tnfaip8l3","Ntn5","Crybb1","Bfsp2","A630077J23Rik","Tgfb3","Mpzl2"
"Sox9","Rec114","Hspb1","Tesc","Lingo1","Nefm","Etv1","Galnt9","Egr3","Ano3","Cpne7","Hpgds","Isoc1","Trpc3","Opalin","Aspn","Nek7","Luzp2","Mir143hg","Cck","Slc30a3","Rgs10","Prelp","Dio2","Rassf9","Crhbp","Ano3","Ltc4s","Tnni1","Rem1","Ntn4","Cmbl"
"Mertk","Gm35209","Esam","Kctd4","Epha4","BC048546","Tmem200a","Grik3","Ak4","Aldh1b1","Trpc5","Zfp36","Dlx6os1","Cdh18","Mal","Colec12","Lpl","Gm14204","Ppp1r14a","Megf10","Tmem91","Cnr1","Slc13a4","Aldh1l1","Ly6c1","Ankrd55","Adcyap1","Csf3r","Tmem125","Ifitm1","Map3k7cl","Fbln7"
"Mt2","Pou6f2","Id3","Lpl","Grm2","Lingo1","Ptk2b","Rab26","Rprml","Tmem40","Zmat4","Spi1","Pcp4","Lmo3","Grb14","Sparc","Kcnip2","Tuba8","Bcam","Rpp25","Zcchc12","Htr3a","Col1a1","Atp13a4","X4930578C19Rik","Tac2","Nefl","Tbxas1","Prima1","LOC105243485","Smim5","LOC105243928"
"Vcam1","Mab21l1","S1pr1","Rtn4rl1","BC030499","Tcrb","Tox","Ptk2b","Tbr1","Scube1","Dlx5","Cyba","Ccdc109b","Rnf152","Enpp2","Ackr3","Prss23","Lppr1","Cald1","Kit","Grik3","Npas3","Foxc1","Slc4a4","Ccm2l","Npas1","Serinc2","Clec4a3","LOC105245679","Nr1h3","Tuba1c","Clec3b"
"S100a16","Thrsp","Kdr","Gm34996","Cdh12","Neurod2","Reln","Myl4","Ipcef1","Kcnv1","Gm14204","Cd68","Fam184a","Trhr","Mobp","Rbpms","A530058N18Rik","Slc44a5","Hspb2","Necab2","Mkx","Zfp536","Vcam1","Acot11","Sigirr","Zcchc12","Nrgn","Siglech","Mobp","Sik1","Gm34439","Eya2"
"Dio2","Lhx2","Epas1","Cckbr","LOC102634502","Ano3","Dcdc2a","Neurod2","Cpne5","Igfbp5","Adra1a","Fyb","Col6a1","Il11ra1","Gpr37","Epas1","Kcnab3","A530058N18Rik","Higd1b","Gm14204","Grik1","Kit","Olfml3","X2900052N01Rik","Foxq1","Adarb2","Lzts1","Tlr7","Prkcq","Tmem71","X2200002D01Rik","Msx1"
"Gm13325","Bcl11a","Eng","Pvrl3","Itpka","Klf10","Nrn1","Igfbp4","Ano3","Neurod6","Dlx1","Sepp1","Kcnip1","Satb1","Nkx6.2","Cp","Fam19a2","Cpne7","Wtip","Dlx1","LOC105243425","Gpd1","S100a11","C030018K13Rik","Hspa12b","Crh","Dtl","Tnfaip8l2","Sgk2","Nts","Crispld2","Aebp1"
"Cyp4f15","Cd24a","Lef1","Nefm","Prdm8","Car10","Galnt9","Ppp1r1b","Car12","Rab26","Lmo2","Hmha1","Atp2b4","Bcl11b","Aspa","Enpep","Lgals1","Slc32a1","Rgs5","Slc32a1","Trhde","Npas1","Cp","Id4","Sdpr","Synpr","Egr4","Cd37","Plekhh1","Naalad2","Gpr20","Igf2"
"Daam2","Gm21283","Ocln","Gm12371","Crhr1","Rorb","Cdkl4","Mmp17","Ak5","Rprml","Klhl13","Tmem119","Dgkb","Adcy2","X1700047M11Rik","Gm13861","Nxph2","Serpinf1","Cd9","Rwdd3","Cntnap3","Zfp804a","Rbp1","Pdzph1","Slc16a4","Nrtn","Hs3st4","Fcgr1","LOC105245083","LOC105244729","Asb2","Svep1"
"Atp13a4","Fat3","Tmem204","Ptk2b","Scube1","Cck","Pcsk5","Rasal1","Atp2b4","Neurod2","Necab2","Hpgd","Map3k1","Adora1","Tmem88b","Tagln2","Lrrc38","Rpp25","Pde3a","Nr2f2","Grm1","Ptprz1","Apoe","Gm973","Rnf125","Elfn1","Gpr26","Il10ra","Adamts4","Hmcn2","Olfr558","Col12a1"
"Apoe","Twsg1","Ctsh","A830009L08Rik","Gfra2","Arc","Hs3st2","Zfpm2","Sstr2","Igsf21","Fgf13","Slco2b1","Sez6","Nrsn2","Gltp","Ifitm2","Gabrd","Zfp536","Tagln2","Col19a1","Lgals1","Sema3c","Itih5","Tst","Kank3","Pvalb","Rasl10a","Hpgd","Olig2","Ntn1","Ltbp1","Fibin"
"Cxcl14","Angpt1","Igfbp7","LOC102634502","Unc5d","Galnt9","Mas1","Rasl10a","Cobl","Rai14","Bcl11b","Lyn","Hap1","Sema3e","Gjb1","Itga1","Coro6","Cck","Epas1","Btbd11","Cdh13","Dlx2","Aox3","Gdpd2","Nos3","Egln3","Rnf39","Cd33","Gpr37","Gm12906","C1s1","Kdelr3"
"Plcd4","Cep112","Sepp1","Cux2","Pou3f2","Deptor","BC048546","Rasgrp1","Pdlim1","Tmem91","Sox2ot","Lpcat2","Rprml","Sv2b","Plxnb3","S1pr3","Dlx5","Dusp10","Olfr78","Erbb4","Satb1","A530058N18Rik","Ctsh","Mir135a.2","Slco1a4","LOC105242595","Crym","Clec4a2","Galnt6","Plxdc1","Des","LOC100534389"
"Cbs","Pcp4","Cgnl1","Dusp18","Hspb3","Epha4","Igsf21","Klf10","Nefl","Klhdc8a","Arl4c","Ptpn18","Sall3","Cpne4","Arhgef10","Gjc1","Kcnip1","Rgs16","Sparc","Vip","Col19a1","Gm17750","Id3","Gli3","Mmrn2","Fstl5","X2010300C02Rik","Ncf1","Nipal4","Gm9199","LOC102636037","Bmp7"
"Grin2c","Nxph4","Podxl","Atp6ap1l","Kcnv1","Dkk3","Sorcs1","Lamp5","Rasgrp1","Galnt9","Krt1","Ctsh","Trim17","Wscd1","X2810468N07Rik","Tmem204","Wif1","Sox1","Tm4sf1","Jam2","Mgat4c","Arl4c","Trf","Gabrg1","Zic3","Gpr176","BC048546","Cd84","A230009B12Rik","Cysltr2","Ntf3","Wnt6"
"Ppp1r3g","Pkib","Prom1","C1ql3","Kcnh5","Pde1a","Bcl11b","Mctp1","Nnat","Sulf1","Dner","Crybb1","Gabra5","Neto2","Car14","Axl","Rab3b","Cntn4","Rasl12","Zcchc12","Npas3","Igsf3","Fcgrt","Ezr","Rab11fip1","Pde11a","Rasgrp1","Cyth4","Prr18","Ecm2","Tmem38b","Gm6209"
"Sdc4","Nrg1","Tinagl1","Cobl","Dtl","Scube1","Tiam2","Adora1","Mmp17","Grik3","Rpp25","Olfml3","Pcbp3","Hs3st4","Cdc42ep1","Gper1","Galntl6","LOC102632463","Palld","Galnt14","Nrsn2","Galntl6","Timp3","Aldoc","Ly6a","Htr2c","Glt8d2","Cd300a","Nkain1","LOC105242655","X9530034E10Rik","Hcar1"
"Nwd1","Eya2","Vwa1","Rasgrf2","Cobl","Fezf2","X1700086L19Rik","Lmo3","Ptk2b","Rab3b","Nyap2","Mertk","Dcx","Diras2","Pla2g16","Nbl1","Rpp25","Dlx2","Phldb2","Slc6a1","Gm14204","Rgs8","Slc22a8","Cyp4f14","St6galnac2","Grip1","Extl1","Nckap1l","Anln","Steap4","Klhl30","Cemip"
"Gstm1","X1500009L16Rik","Slc22a8","Unc5d","Camk4","Tox","Kcng1","Prkcg","Slc30a3","Kcnip3","Prox1","P2ry6","Matn2","Rprml","Rhog","Cgnl1","Gm14204","Crh","Ifitm3","Dlx2","Igf1","Cbln2","Anxa2","Cideb","Xdh","Grpr","Slc8a2","Susd3","Olig1","Il2ra","Amigo2","Mfap4"
"Aldoc","Ifitm2","Gng11","Palmd","Rims3","Rprm","Prkcg","Emb","Cckbr","Atp2b4","Ptprm","Gpr183","Tcerg1l","Gpr26","Wscd1","Gatm","Ifitm10","Gm17750","Cav1","Qpct","Galntl6","Galnt14","Emp3","Elovl2","Gch1","Snrpn","Cdkl4","Gpr183","Phldb1","Tbx3os1","Rbpms2","Aldh1a1"
