"Astro_on","CR_on","Endo_on","L2.3.IT_on","L4_on","L5.IT_on","L5.PT_on","L6.CT_on","L6.IT_on","L6b_on","Lamp5_on","Macrophage_on","Meis2_on","NP_on","Oligo_on","Peri_on","Pvalb_on","Serpinf1_on","SMC_on","Sncg_on","Sst_on","Vip_on","VLMC_on","Astro","Endo","GABAergic","Glutamatergic","Macrophage","Oligo","Peri","SMC","VLMC"
"Gpr37l1","Ndnf","Ly6c1","Calb1","Rorb","Neurod6","Fam19a1","Crym","Neurod6","Cplx3","Npy","C1qb","Penk","Myl4","Olig1","Vtn","Tac1","Adarb2","Acta2","Htr3a","Sst","Vip","Dcn","Mlc1","AU021092","Dlx6os1","Gm11549","Fcrls","Sox10","Kcnj8","Aoc3","Slc22a6"
"Cldn10","Trp73","Cldn5","Lamp5","Rspo1","Slc17a7","Fezf2","Rprm","Rasl10a","Ctgf","Gad1","Ctss","Scgn","Crym","Sox10","Higd1b","Pvalb","Gad1","Tagln","Cxcl14","Lhx6","Adarb2","Apod","Cyp4f15","Sox17","Dlx1as","Neurod6","Csf1r","Gjc3","LOC105244119","LOC105246387","Lum"
"Gjb6","Reln","Ly6a","Fam19a1","Dkkl1","Nrn1","Lamp5","Foxp2","Nrn1","Nxph4","Hapln1","C1qc","Gad1","Tshz2","Pllp","Atp13a5","Cox6a2","Npy","Myl9","Npas1","Nxph1","Crh","Ptgds","Aqp4","Slc38a5","Gad2","Tbr1","Fcgr3","Ugt8a","Art3","Cnn1","Itih2"
"Gja1","Lhx1os","Slco1a4","Myh7","Cbln4","Slc30a3","Pou3f1","Hs3st4","Igfbp6","Hs3st4","Gad2","C1qa","Frmd7","Lypd1","Gjc3","Kcnj8","Lhx6","Pnoc","Myh11","Adarb2","Rbp4","Penk","Slc6a13","Ppp1r3g","Tie1","Dlx5","Neurod2","Tyrobp","Fa2h","Abcc9","Tagln","Aox3"
"Acsbg1","Gm27199","Eltd1","C730002L08Rik","Cpne9","Sv2b","Gm19410","Fezf2","Gm11549","Ly6g6e","Cplx3","Csf1r","Meis2","Fezf2","S100a16","Myl9","Nxph1","Gad2","Crip1","Sncg","Calb1","Dlx6os1","Vtn","Gm13325","Slc19a3","Slc32a1","Sv2b","Cx3cr1","Mog","Ace2","Pln","Aldh1a2"
"S1pr1","Lhx5","Flt1","Igfbp6","Neurod6","Pamr1","Npr3","Tcrb","Bmp3","Tmem163","Lamp5","Fcer1g","Synpr","Nxph1","Cd9","Art3","Gad1","Dlx6os1","Tpm2","Tnfaip8l3","Grin3a","Gad1","Serping1","Grin2c","Sox18","Gm14204","Slc17a7","C1qb","Myrf","Atp13a5","Acta2","Dcn"
"Slco1c1","Cacna2d2","Pglyrp1","Itpka","LOC101056001","Hs3st2","Chst8","Gm30620","Slc26a4","Nxph3","Dlx6os1","Tyrobp","Shisa8","Neurod6","Plp1","Sod3","Cort","Nov","Sncg","Dlx6os1","Gad2","Igf1","Igfbp2","Acsbg1","Ushbp1","Dlx1","LOC102634132","C1qc","Opalin","Pla1a","Pdlim3","Fam180a"
"Ntsr2","Emx2","Abcb1a","Rgs14","Exph5","Kcnv1","Fam84b","Arhgap25","Col6a1","X3110035E14Rik","Adarb2","Fcgr3","Gad2","Nxph3","Cmtm5","Ndufa4l2","Crhbp","Igf1","Aspn","Pnoc","Gad1","Gad2","Igf2","Nwd1","Erg","Gad1","Itpka","C1qa","Nkx6.2","Gm36823","BC051019","Lama1"
"Slc1a3","Syndig1l","Pltp","Neurod1","Krt12","Itpka","Adcyap1","X3110035E14Rik","C1ql3","Slc17a7","Kit","Fcrls","Th","Rprm","Ugt8a","P2ry14","Cartpt","Kcnip1","Slc38a11","Dlx1as","Lypd6","Synpr","Col1a2","Btbd17","Ptprb","Dlx2","Nptx1","AF251705","Bcas1","Pde4c","Myom1","Cyp1b1"
"F3","Cd274","Slco1c1","Gpr88","Nrn1","Egr3","Crym","Col5a1","Slc17a7","Prss12","Pnoc","P2ry12","Sp8","Pamr1","Bcas1","Rgs5","Erbb4","Vip","Mustn1","Gad1","Npy","Prox1","Pcolce","Plcd4","Icam2","Pnoc","Kcnv1","Ctss","Gjb1","Ggt1","Fhl5","LOC100861618"
"Slc7a10","Tbr1","Ctla2a","B230216N24Rik","Gm11549","Dkkl1","Gm11549","Neurod6","Rtn4rl2","Ipcef1","Erbb4","Laptm5","Ptpro","Meis2","Olig2","Ifitm1","Gad2","Dlx1as","Pdlim3","Sema3c","Synpr","Pthlh","Serpinf1","Slc25a18","Cldn5","Rpp25","Egr3","Fcer1g","Ermn","Saa1","Sncg","Slc13a4"
"Mlc1","Calb2","Ptprb","Nrn1","Slc30a3","Krt12","Sv2b","Gm11549","Sv2b","Sv2b","Ngf","Cd53","Myo16","Nrn1","Fa2h","Abcc9","Gm13629","Erbb4","Pln","Egln3","Crhbp","Erbb4","Slc6a20a","Cldn10","Mecom","Kcnip1","LOC105246694","Emr1","Plp1","Saa2","Myh11","Kcnj13"
"Mfge8","Tmem163","Srgn","Rasl10a","Egr3","Myl4","Meis2","Slc17a7","Bdnf","Pcsk5","Slc6a1","Ly86","Amigo2","Olfm3","Kcnj10","Cox4i2","Btbd11","Dlx1","Vim","Gad2","Lypd6b","Dlx1","Aldh1a2","Rmst","Pglyrp1","Cntnap5c","X9130024F11Rik","P2ry13","Gal3st1","Nodal","Myocd","Col1a1"
