"Astrocyte_on","Deep.Layers_on","Endothelial_on","LAMP5.PAX6.Other_on","Microglia_on","Oligo.OPC_on","PVALB_on","SST_on","Superficial.Layers_on","VIP_on","Astrocyte","Endothelial","GABAergic","Glutamatergic","Microglia","Oligo.OPC"
"FGFR3","SATB2","EMCN","GAD2","CX3CR1","BCAS1","TAC1","SST","SATB2","VIP","ID4","EMCN","DLX6.AS1","LOC101929544","ADAM28","LOC101929249"
"RNF219.AS1","SLC17A7","NOSTRIN","CXCL14","ADAM28","KCNH8","NXPH1","NXPH1","LY86.AS1","CXCL14","RNF219.AS1","NOSTRIN","GAD2","LY86.AS1","FGD2","BCAS1"
"LINC00499","SV2B","ITIH5","ADARB2","C3","C10orf90","GAD1","GRIK3","MLIP","DLX6.AS1","PAPLN","CLDN5","LOC105375415","LOC105373896","LOC101929497","LOC101927459"
"SLCO1C1","RXFP1","ADGRF5","KIT","DOCK8","APOD","BTBD11","SYNPR","LINCR.0002","ADARB2","ACSBG1","COL1A2","GRIP2","LOC105373893","C3","KCNH8"
"ACSBG1","NPTX1","ANO2","GRIN3A","CD74","SHROOM4","TRPC4","GAD1","LOC284930","CALB2","ETNPPL","ADGRF5","PNOC","LOC284930","P2RY12","C10orf90"
"SLC25A18","MIR137HG","SLC7A11","GAD1","APBB1IP","PLLP","GAD2","GRIK1","TESPA1","LOC105373642","RANBP3L","LEF1","SLC32A1","LOC101927880","CSF1R","FA2H"
"RANBP3L","LOC105376407","LEF1","GRIP2","FYB","FA2H","SLIT2","SATB1.AS1","SV2B","SYNPR","FGFR3","ITIH5","BTBD11","SFTA1P","SYK","SH3TC2"
"ETNPPL","LOC101929544","ATP10A","SV2C","P2RY12","LOC101929249","MYO5B","EPHB6","LOC105376407","PROX1","LINC00499","GGT5","ARL4C","KCNV1","CX3CR1","OPALIN"
"PRODH","MLIP","UACA","DLX6.AS1","SYK","UGT8","LOC101929680","SOX6","NWD2","LOC105375415","PHYHD1","ATP10A","TAC1","LOC105378208","ITGAX","CARNS1"
"PPAP2B","SFTA1P","IGFBP7","NECAB2","CSF1R","LOC102723503","LHX6","GRIN3A","SLC17A7","GAD1","SLC39A12","TMEM204","LOC105371352","TESPA1","APBB1IP","SOX10"
"PRDM16","LOC105375629","EBF1","NXPH1","LPAR6","OLIG1","SOX6","LOC105372768","MIR137HG","CNR1","PRODH","C7","DLX1","LOC105371832","PIK3R5","CD22"
"ATP1A2","OLFM3","LAMA2","EGFR","LOC101929497","COL9A2","CNTNAP3B","CDH9","SLC22A25","SCG2","LINC00982","TM4SF1","SYTL5","LOC105373720","MS4A7","LOC100130370"
"PON2","ARPP21","COBLL1","BCL11B","TBXAS1","ST18","VWC2","FLT3","OLFM3","ARL4C","GRIN2C","SDPR","NRIP3","LOC105378207","PTPRC","OLIG2"
"PAPLN","LOC105373893","FLI1","NRIP3","ITGAX","PLP1","GRIP2","COL25A1","SFTA1P","BTBD11","EMX2OS","ANXA3","GAD1","LYPD8","FYB","CDH19"
"AQP4","PDZRN4","TGFBR2","LINC00299","INPP5D","SMOC1","SULF1","BCL11A","LOC101927880","GPR149","EMX2","GNG11","LOC105377574","SV2B","CSF3R","MAG"
"SLC1A3","LOC105376405","ARHGAP29","HAPLN1","SLCO2B1","LOC101927459","MYO16","ELAVL2","SLC6A7","ASIC4","SLC25A18","CD34","TAC3","SLC22A24","C1QB","SMOC1"
"ACSS1","KIAA1211L","PECAM1","CCK","PTPRC","DOCK1","ELAVL2","TRHDE","LOC105378334","COL21A1","PRDM16","TAGLN2","GPR149","LOC105376405","DOCK8","UGT8"
"GLI3","DIRAS2","LAMA4","LAMP5","FGD2","CERCAM","CNTNAP3","LOC105377574","LINC01250","CHRNA2","RGS20","MECOM","DLX6","LOC105378209","LINC00996","LOC102723503"
"SLC7A11","LY86.AS1","XAF1","LOC105375415","IKZF1","MBP","CNTNAP3P2","STXBP6","LOC105373893","PTHLH","MT1F","S100A10","SST","TBR1","LINC01268","STK32A"
"F3","PDE1A","TNS1","EYA4","BLNK","ATP10B","KCNC2","TRB","SLC22A24","NR2F2.AS1","PLIN5","SLC38A5","GRIN3A","SLC22A25","IKZF1","LOC101927967"
