"Astrocyte_on","Deep.Layers_on","Endothelial_on","LAMP5.PAX6.Other_on","Microglia_on","Oligo.OPC_on","PVALB_on","SST_on","Superficial.Layers_on","VIP_on","Astrocyte","Endothelial","GABAergic","Glutamatergic","Microglia","Oligo.OPC"
"GRAMD3","HS3ST2","MYO15B","NYAP2","AOAH","MOG","ANK1","LHX6","ARPP21","TAC3","LOC101929608","CDH5","LGI2","LOC101927871","CYBB","CNDP1"
"NDRG2","CLSTN2","EMP2","RPH3A","LOC105377684","DOCK5","SCN9A","NMU","ANO3","SLC24A3","MLC1","TBX3","FLT3","KRT17P1","SELPLG","COL20A1"
"LOC101927437","ANO3","MECOM","SLC35F4","CSF3R","RFTN2","KCNAB3","GRIP2","FSTL4","KCNT2","AQP4","TGM2","ECE2","LINC01202","LST1","LOC105377381"
"STON2","NGEF","FLT1","VSTM2A","LAPTM5","PON2","GRIK3","RAB3B","KCNIP4.IT1","KMO","ARHGEF26","ANO2","CORT","SLC6A7","LOC105377918","CERCAM"
"PAMR1","HS3ST4","LOC102467224","GRIK1","PIK3R5","CARNS1","LOC101927121","GRIA3","CDH22","OLFM3","PAX6","TBX18","ANKRD55","LOC440896","RHBDF2","KLK6"
"GJA1","KCNK1","PLSCR4","ARL4C","RUNX1","ZCCHC24","ANKRD34C.AS1","MARCH4","KIAA1211L","VWC2L","ALDH1L1","LOC102467224","LYPD6B","ZDHHC23","LOC105377684","MIR219A2"
"MT2A","LOC105371832","TGFBR3","PRELID2","ARHGAP15","PHLDB1","PLCXD3","SNORD115.","NPTX1","NR2F2","AIFM3","ARHGEF15","HRH3","NEUROD6","FAM177B","OLIG1"
"ARHGEF26","PART1","TRIOBP","ADRA1A","LOC105378305","GPRC5B","LOC101929563","CACNG3","NGEF","C8orf34","LOC105376917","BGN","NXPH2","SATB2","LY86","CSPG4"
"GLUL","NELL2","EPAS1","SPHKAP","RHBDF2","ENPP2","ST8SIA4","PDE1A","LOC102724109","ARPP21","GLI3","COBLL1","CALB2","NPTX1","LAPTM5","MROH9"
"HIF3A","LINC00710","FGD6","CCDC85A","DOCK2","PTGDS","SAMD5","TSHZ3","MCHR2","ENTPD3","LCN12","RPS3P2","SLC35F4","LINC00710","TYROBP","KLRC3"
"GRIN2C","SYT7","THSD4","KCNC2","ARHGAP22","MEIS2","WIF1","NETO1","ERICH1.AS1","CRH","AGT","FLT1","RPP25","STYK1","RGS10","LOC105374211"
"COL5A3","VIPR1","MT2A","C8orf34","LINC01141","CREB5","PTCHD4","ANKRD55","KCNK1","FXYD6","SDC4","EDN3","PRRT4","LOC105373891","TBXAS1","GPR17"
"OAF","ENC1","C7","CDHR3","FLI1","CHD7","SLC26A4","PRKCG","ST6GALNAC5","SHISA8","SLC16A9","CYYR1","SHISA8","MCHR2","ADAP2","TMEM98"
"ALDH1L1","SEC14L5","CGNL1","RERG","OLR1","MOBP","OPN5","NETO2","PDE1A","KCNH7","GJA1","SLC2A1","OPN5","MLIP","TREM2","DBNDD2"
"ATP13A4","ERICH1.AS1","ITGA10","FSTL5","ZFP36L2","LOC101927967","NDST3","CDH8","LOC105376405","GABRA1","MGST1","FLVCR2","DLX5","SLC17A7","CD86","SLC5A11"
"NHSL1","RIT2","ABCB1","PDGFD","ATP8B4","ZFHX4","LYPD6B","XKR4","LINC00710","LOC105373643","LOC102724687","COL6A3","VIP","LOC105373895","SLC2A5","MOG"
"LOC105376917","SH3GL2","GGT5","MYO16","CD86","CDH20","RUNX2","ST6GALNAC5","LCA5","KIT","SPATC1","ESAM","VSTM2A","SLC22A9","LILRB4","LDB3"
"EMX2OS","ANKRD33B","B2M","FREM1","MS4A7","LPPR1","INPP5J","LINC01322","DLGAP1.AS4","LOC101928842","LAMA1","CLEC3B","C1QTNF2","LOC105375629","HLA.DMB","LOC102724312"
"RGS20","LOC285696","ENG","RAB3C","HLA.DRA","CD9","FLJ41278","LINC01122","ANKRD33B","CALY","RFX2","IFI27","PCP4L1","LOC105375097","HAVCR2","ST18"
"ZFHX4","RASGRP1","LHFP","NXPH2","PALD1","SCD","ZMAT4","COL19A1","ZBBX","B4GALT6","ARHGEF26.AS1","NES","FBN2","NRGN","BLNK","TMEM125"
"LOC101929608","SCN3B","STOM","TOX3","LPCAT2","PLEKHH1","RSPO2","MPPED1","LOC105370610","PCDH8","LOC100289473","SLC16A12","LOC105377568","CBLN2","LOC105372984","LOC105379054"
"LINC00299","PTPRR","LOC105377862","GABRA1","ST6GAL1","EDIL3","C8orf4","ARX","LDB2","SNORD115.","LOC101927437","SEMA3G","C8orf4","OR14I1","LPAR5","COL9A1"
"BMPR1B","LINC01250","IFI44","RIMBP2","ALOX5","PTN","LOC101927885","CALY","NELL2","RGS12","LOC102724527","FOXC1","GRIN2D","RXFP1","ITGAM","SCD"
"ID4","LOC105373896","NEAT1","GABRB2","SAMSN1","FRMD4B","DOCK11","PAWR","ENC1","SEZ6","RLBP1","SCN4A","CRH","LOC105378210","C1QC","LOC105374552"
"SLC39A12","BCL11A","S100A10","PKP2","SLC1A3","MYRF","GABRA1","SNRPN","LOC105371832","LGI2","LOC105374244","IFITM1","GRIK1.AS2","NGEF","LINC01141","TMEM235"
"LRP4","CBLN2","HLA.E","LINC00298","CYBB","LINC01170","CPLX1","GAD2","MFSD4","HMP19","EFEMP1","THSD4","PKP2","LOC105377390","OLR1","GJB1"
"PLXNB1","ZDHHC23","LOC105369345","LINC00599","SLC2A5","ADARB2","TENM1","TENM3","LOC105373153","THSD7A","ITGA7","MFSD2A","ENTPD3","FSTL4","STAB1","LOC100506725"
"RORB","FSTL4","SP100","SLC6A1","LINC01268","NCKAP5","ADCY8","KCNC2","CBLN2","ADRA1A","KLKB1","ADGRL4","CHRNA2","LOC105377329","ITGB2","PLLP"
"MEIS2","LOC105369858","RHOJ","FGF13","HCK","DOCK10","RNF144B","SYTL5","SH3GL2","ADRA1B","MROH7.TTC4","LOC105377979","SP9","LOC105374934","DOCK2","KLRC2"
"ACSS3","KCNIP4.IT1","APCDD1","PCP4L1","RCSD1","PDGFRA","ZNF804A","LOC105372472","ADAMTS3","GABRB2","F3","EBF1","ANO1","LOC105369334","SAMSN1","HAPLN2"
