maxmappingprobability,sample_id,dataset
0.49,P1S4_190225_002_A01,nms_fail
0.59,P1S4_180205_002_A01,nms_fail
0.18,P1S4_180910_002_A01,nms_fail
0.19,P8S4_180820_361_A01,nms_fail
0.21,PAS4_180604_453_A01,nms_fail
0.49,PAS4_180613_451_A01,nms_fail
0.18,PAS4_201102_452_A01,nms_fail
0.89,PES4_180914_651_A01,nms_fail
0.39,PES4_190212_652_A01,nms_fail
0.24,P9S4_180227_402_A01,nms_fail
0.14,P2S4_171017_052_A01,nms_fail
0.15,PAS4_181113_451_A01,nms_fail
0.14,P8S4_180122_352_A01,nms_fail
0.11,P1S4_180221_001_A01,nms_fail
0.56,PAS4_180416_452_A01,nms_fail
0.61,PAS4_190218_453_A01,nms_fail
0.27,PAS4_190703_454_A01,nms_fail
0.39,P8S4_180418_355_A01,nms_fail
0.34,PAS4_181130_452_A01,nms_fail
1,PBS4_180227_504_A01,nms_fail
0.46,PBS4_180411_504_A01,nms_fail
0.89,PES4_181022_652_A01,nms_fail
0.58,P8S4_180319_357_A01,nms_fail
0.28,PAS4_180601_453_A01,nms_fail
0.76,PBS4_171206_504_A01,nms_fail
0.58,P8S4_171122_353_A01,nms_fail
0.28,P8S4_171009_356_A01,nms_fail
0.26,PBS4_180906_501_A01,nms_fail
0.59,P8S4_180227_354_A01,nms_fail
0.38,P9S4_180410_403_A01,nms_fail
0.42,PAS4_190627_460_A01,nms_fail
0.18,P9S4_171115_407_A01,nms_fail
0.19,P1S4_180529_002_A01,nms_fail
0.22,P1S4_180823_005_A01,nms_fail
0.45,P1S4_180906_003_A01,nms_fail
0.32,P1S4_180910_001_A01,nms_fail
0.25,P1S4_190328_002_A01,nms_fail
0.33,P1S4_190411_001_A01,nms_fail
0.1,P2S4_180710_056_A01,nms_fail
0.15,P8S4_180202_353_A01,nms_fail
0.15,P8S4_180206_352_A01,nms_fail
0.33,PAS4_180202_453_A01,nms_fail
0.14,PAS4_180323_452_A01,nms_fail
0.43,PAS4_190409_454_A01,nms_fail
0.27,PBS4_171027_503_A01,nms_fail
0.25,PBS4_180406_505_A01,nms_fail
0.28,PBS4_180720_503_A01,nms_fail
0.36,PES4_181008_651_A01,nms_fail
0.14,P9S4_180411_403_A01,nms_fail
0.99,PBS4_180425_502_A01,nms_fail
0.09,PXS4_180720_904_A01,nms_fail
0.15,PBS4_180202_501_A01,nms_fail
0.18,P8S4_180316_352_A01,nms_fail
0.16,P1S4_180914_002_A01,nms_fail
0.15,P8S4_180504_356_A01,nms_fail
0.71,P1S4_190225_001_A01,nms_fail
0.29,PBS4_190114_502_A01,nms_fail
0.12,P1S4_180622_003_A01,nms_fail
0.32,PBS4_180316_502_A01,nms_fail
0.4,P1S4_180226_002_A01,nms_fail
0.7,P1S4_180228_002_A01,nms_fail
0.27,P1S4_180815_002_A01,nms_fail
0.37,P2S4_180321_051_A01,nms_fail
0.79,P8S4_171030_351_A01,nms_fail
0.74,P8S4_180226_353_A01,nms_fail
0.54,P8S4_180817_361_A01,nms_fail
0.48,P9S4_180207_403_A01,nms_fail
0.21,P9S4_180423_404_A01,nms_fail
0.23,PBS4_171117_501_A01,nms_fail
0.52,PBS4_180111_502_A01,nms_fail
0.23,PBS4_180504_501_A01,nms_fail
0.32,P2S4_180716_055_A01,nms_fail
0.26,P8S4_180827_359_A01,nms_fail
0.37,P8S4_171005_351_A01,nms_fail
0.39,P8S4_190226_352_A01,nms_fail
0.29,P9S4_171023_405_A01,nms_fail
0.24,PBS4_180514_503_A01,nms_fail
0.22,P8S4_171117_352_A01,nms_fail
0.26,P8S4_180402_356_A01,nms_fail
0.22,P2S4_180111_053_A01,nms_fail
0.56,P9S4_171116_402_A01,nms_fail
0.14,P8S4_180509_354_A01,nms_fail
0.27,P9S4_180727_404_A01,nms_fail
0.21,PBS4_180717_505_A01,nms_fail
0.2,P8S4_180410_353_A01,nms_fail
0.17,PBS4_171027_504_A01,nms_fail
0.3,PBS4_180409_504_A01,nms_fail
0.34,PBS4_171106_502_A01,nms_fail
0.19,P1S4_180416_003_A01,nms_fail
0.25,P1S4_180813_001_A01,nms_fail
0.57,P1S4_190329_003_A01,nms_fail
0.26,P2S4_190618_051_A01,nms_fail
0.15,P8S4_180828_360_A01,nms_fail
0.99,PAS4_180518_451_A01,nms_fail
0.55,P9S4_171016_401_A01,nms_fail
0.17,P9S4_180319_402_A01,nms_fail
0.15,P1S4_180622_002_A01,nms_fail
0.43,P1S4_180212_002_A01,nms_fail
0.38,P1S4_180221_004_A01,nms_fail
0.87,P1S4_180226_003_A01,nms_fail
0.29,P1S4_180314_002_A01,nms_fail
0.26,P1S4_180316_003_A01,nms_fail
0.78,P1S4_180327_004_A01,nms_fail
0.15,P1S4_180404_003_A01,nms_fail
0.34,P1S4_180411_004_A01,nms_fail
0.78,P1S4_180605_001_A01,nms_fail
0.18,P1S4_180706_002_A01,nms_fail
0.33,P1S4_180706_008_A01,nms_fail
0.92,P1S4_180806_001_A01,nms_fail
0.47,P1S4_180809_001_A01,nms_fail
0.4,P1S4_180821_006_A01,nms_fail
0.13,P1S4_180912_010_A01,nms_fail
1,P1S4_181127_002_A01,nms_fail
0.26,P1S4_190104_001_A01,nms_fail
0.41,P1S4_190118_002_A01,nms_fail
0.52,P1S4_190408_002_A01,nms_fail
0.5,P1S4_190524_001_A01,nms_fail
0.36,P1S4_190807_001_A01,nms_fail
0.17,P2S4_171003_056_A01,nms_fail
0.11,P2S4_171009_055_A01,nms_fail
0.12,P2S4_171019_051_A01,nms_fail
0.27,P2S4_171031_051_A01,nms_fail
0.27,P2S4_180221_052_A01,nms_fail
0.41,P2S4_180307_053_A01,nms_fail
0.19,P2S4_180613_053_A01,nms_fail
0.52,P8S4_171003_352_A01,nms_fail
0.2,P8S4_171103_354_A01,nms_fail
0.21,P8S4_171212_352_A01,nms_fail
0.29,P8S4_171215_355_A01,nms_fail
0.17,P8S4_180103_351_A01,nms_fail
0.36,P8S4_180123_352_A01,nms_fail
0.32,P8S4_180207_353_A01,nms_fail
0.26,P8S4_180226_352_A01,nms_fail
0.09,P8S4_180227_352_A01,nms_fail
0.45,P8S4_180409_356_A01,nms_fail
0.32,P8S4_180409_358_A01,nms_fail
0.16,P8S4_180410_352_A01,nms_fail
0.58,P8S4_180413_354_A01,nms_fail
0.2,P8S4_180905_353_A01,nms_fail
0.2,P8S4_181001_357_A01,nms_fail
0.13,P8S4_200807_352_A01,nms_fail
0.46,P9S4_171003_402_A01,nms_fail
0.21,P9S4_171020_401_A01,nms_fail
0.2,P9S4_171114_405_A01,nms_fail
0.28,P9S4_171206_402_A01,nms_fail
0.22,P9S4_180119_402_A01,nms_fail
0.31,P9S4_180122_401_A01,nms_fail
0.27,P9S4_180122_404_A01,nms_fail
0.98,P9S4_180201_401_A01,nms_fail
0.11,P9S4_180227_403_A01,nms_fail
0.22,P9S4_180409_407_A01,nms_fail
0.21,P9S4_180531_410_A01,nms_fail
0.13,P9S4_180622_402_A01,nms_fail
0.16,P9S4_180627_404_A01,nms_fail
0.5,P9S4_180710_413_A01,nms_fail
0.42,P9S4_180802_401_A01,nms_fail
0.66,PAS4_171005_451_A01,nms_fail
0.41,PAS4_180124_453_A01,nms_fail
0.93,PAS4_180130_451_A01,nms_fail
0.18,PAS4_180312_451_A01,nms_fail
0.62,PAS4_180320_452_A01,nms_fail
0.45,PAS4_180418_452_A01,nms_fail
0.57,PAS4_180501_455_A01,nms_fail
0.25,PAS4_180504_454_A01,nms_fail
0.21,PAS4_180507_452_A01,nms_fail
0.66,PAS4_180523_452_A01,nms_fail
0.26,PAS4_180604_451_A01,nms_fail
0.13,PAS4_180620_454_A01,nms_fail
0.31,PAS4_180711_454_A01,nms_fail
0.2,PAS4_180716_451_A01,nms_fail
1,PAS4_180720_452_A01,nms_fail
0.24,PAS4_180723_452_A01,nms_fail
0.21,PAS4_180724_452_A01,nms_fail
0.18,PAS4_180724_455_A01,nms_fail
0.56,PAS4_180829_454_A01,nms_fail
0.28,PAS4_180830_455_A01,nms_fail
1,PAS4_180906_455_A01,nms_fail
0.24,PAS4_181008_452_A01,nms_fail
0.37,PAS4_181012_455_A01,nms_fail
0.36,PAS4_181017_453_A01,nms_fail
0.79,PAS4_190121_451_A01,nms_fail
0.13,PAS4_190219_451_A01,nms_fail
0.5,PAS4_190702_456_A01,nms_fail
0.81,PAS4_201021_451_A01,nms_fail
0.34,PBS4_171004_502_A01,nms_fail
0.25,PBS4_171027_505_A01,nms_fail
0.12,PBS4_171107_505_A01,nms_fail
0.23,PBS4_171109_504_A01,nms_fail
0.16,PBS4_180117_501_A01,nms_fail
0.27,PBS4_180312_504_A01,nms_fail
0.16,PBS4_180315_501_A01,nms_fail
0.16,PBS4_180319_502_A01,nms_fail
0.14,PBS4_180319_503_A01,nms_fail
0.44,PBS4_180320_502_A01,nms_fail
0.45,PBS4_180403_505_A01,nms_fail
0.29,PBS4_180410_501_A01,nms_fail
0.17,PBS4_180411_505_A01,nms_fail
0.24,PBS4_180416_505_A01,nms_fail
0.25,PBS4_180418_503_A01,nms_fail
0.56,PBS4_180529_505_A01,nms_fail
0.28,PBS4_180529_508_A01,nms_fail
0.3,PBS4_180601_506_A01,nms_fail
0.49,PBS4_180604_504_A01,nms_fail
0.13,PBS4_180604_506_A01,nms_fail
0.37,PBS4_180605_502_A01,nms_fail
0.38,PBS4_180629_503_A01,nms_fail
0.17,PBS4_180629_507_A01,nms_fail
0.4,PBS4_180727_503_A01,nms_fail
0.16,PBS4_180827_505_A01,nms_fail
0.18,PBS4_180906_505_A01,nms_fail
0.38,PES4_190308_654_A01,nms_fail
0.3,PJS4_200921_802_A01,nms_fail
0.14,PXS4_180717_901_A01,nms_fail
0.31,PXS4_180723_900_A01,nms_fail
0.25,P2S4_180108_052_A01,nms_fail
0.25,P8S4_180207_355_A01,nms_fail
0.17,P8S4_180620_351_A01,nms_fail
0.24,P9S4_180124_401_A01,nms_fail
0.18,PAS4_180629_453_A01,nms_fail
0.16,P2S4_180131_051_A01,nms_fail
0.48,P8S4_171010_354_A01,nms_fail
0.11,P8S4_180314_355_A01,nms_fail
0.22,PAS4_190510_451_A01,nms_fail
0.48,P2S4_171017_053_A01,nms_fail
0.14,P9S4_171107_404_A01,nms_fail
0.26,P1S4_180730_001_A01,nms_fail
0.31,P8S4_180124_353_A01,nms_fail
0.61,P9S4_171116_403_A01,nms_fail
0.14,PBS4_180125_501_A01,nms_fail
0.13,P9S4_180219_401_A01,nms_fail
0.19,PAS4_180409_451_A01,nms_fail
0.83,P8S4_171009_355_A01,nms_fail
0.18,PBS4_180315_502_A01,nms_fail
0.12,P8S4_180305_354_A01,nms_fail
0.15,P9S4_180423_402_A01,nms_fail
0.15,P9S4_180727_406_A01,nms_fail
0.21,PAS4_180509_452_A01,nms_fail
0.17,PBS4_181005_503_A01,nms_fail
0.1,PBS4_180205_502_A01,nms_fail
0.3,PBS4_180213_503_A01,nms_fail
0.15,PBS4_181113_502_A01,nms_fail
0.13,P2S4_180307_051_A01,nms_fail
0.34,P8S4_171013_351_A01,nms_fail
0.19,P8S4_180706_355_A01,nms_fail
0.26,PBS4_180124_502_A01,nms_fail
0.36,PAS4_180521_452_A01,nms_fail
0.13,P2S4_180228_054_A01,nms_fail
0.18,P9S4_171005_402_A01,nms_fail
0.08,P9S4_180413_402_A01,nms_fail
0.21,P9S4_171211_402_A01,nms_fail
0.25,PBS4_171204_502_A01,nms_fail
0.15,P1S4_180129_001_A01,nms_fail
0.12,P1S4_180221_003_A01,nms_fail
0.54,P1S4_180226_004_A01,nms_fail
0.21,P1S4_180227_001_A01,nms_fail
0.23,P1S4_180305_003_A01,nms_fail
0.14,P1S4_180313_001_A01,nms_fail
0.11,P1S4_180313_002_A01,nms_fail
0.48,P1S4_180319_003_A01,nms_fail
0.51,P1S4_180410_003_A01,nms_fail
0.23,P1S4_180413_003_A01,nms_fail
0.77,P1S4_180531_002_A01,nms_fail
0.19,P1S4_180604_006_A01,nms_fail
0.18,P1S4_180611_001_A01,nms_fail
0.12,P1S4_180622_001_A01,nms_fail
0.35,P1S4_180725_003_A01,nms_fail
0.34,P1S4_180731_002_A01,nms_fail
0.32,P1S4_180813_002_A01,nms_fail
0.47,P1S4_180814_001_A01,nms_fail
0.11,P1S4_180815_001_A01,nms_fail
0.35,P1S4_180820_001_A01,nms_fail
0.7,P1S4_180906_002_A01,nms_fail
0.48,P1S4_180911_001_A01,nms_fail
0.17,P1S4_190104_005_A01,nms_fail
0.16,P1S4_190130_003_A01,nms_fail
0.2,P1S4_190214_001_A01,nms_fail
0.41,P1S4_190228_002_A01,nms_fail
0.53,P1S4_190301_002_A01,nms_fail
0.11,P1S4_190320_001_A01,nms_fail
0.18,P1S4_190326_002_A01,nms_fail
0.22,P1S4_190329_001_A01,nms_fail
0.24,P1S4_190614_002_A01,nms_fail
0.3,P1S4_190624_005_A01,nms_fail
0.15,P1S4_190701_008_A01,nms_fail
0.55,P2S4_171003_052_A01,nms_fail
0.17,P2S4_171018_054_A01,nms_fail
0.76,P2S4_171018_056_A01,nms_fail
0.38,P2S4_171113_054_A01,nms_fail
0.42,P2S4_171211_052_A01,nms_fail
0.43,P2S4_180126_055_A01,nms_fail
