transgenic_line,Pvalb-IRES-Cre,Pvalb-IRES-Cre,Rbp4-Cre_KL100,Rbp4-Cre_KL100,Sst-IRES-Cre,Sst-IRES-Cre,Vip-IRES-Cre,Vip-IRES-Cre
post_patch,nucleus+,nucleus-,nucleus+,nucleus-,nucleus+,nucleus-,nucleus+,nucleus-
1700001L19Rik,0.12371134020618557,0.09090909090909091,0.34523809523809523,0.2894736842105263,0.29533678756476683,0.15267175572519084,0.19607843137254902,0.17894736842105263
1700047M11Rik,0.010309278350515464,0.01818181818181818,0.05952380952380952,0.02631578947368421,0.04404145077720207,0.022900763358778626,0.014705882352941176,0.042105263157894736
1700086L19Rik,0.8762886597938144,0.3090909090909091,0.8095238095238095,0.39473684210526316,0.8911917098445595,0.4732824427480916,0.35294117647058826,0.22105263157894736
2810468N07Rik,0.1134020618556701,0.12727272727272726,0.23809523809523808,0.23684210526315788,0.18393782383419688,0.21374045801526717,0.22058823529411764,0.11578947368421053
3110035E14Rik,0.31958762886597936,0.4,0.8809523809523809,0.5526315789473685,0.38860103626943004,0.37404580152671757,0.3333333333333333,0.42105263157894735
4632428N05Rik,0.1134020618556701,0.12727272727272726,0.11904761904761904,0.23684210526315788,0.21243523316062177,0.17557251908396945,0.15196078431372548,0.17894736842105263
A330050F15Rik,0.7422680412371134,0.3090909090909091,0.14285714285714285,0.21052631578947367,0.5077720207253886,0.3282442748091603,0.3480392156862745,0.29473684210526313
A530058N18Rik,0.7628865979381443,0.2909090909090909,0.03571428571428571,0.05263157894736842,0.6321243523316062,0.2900763358778626,0.6372549019607843,0.3263157894736842
A830009L08Rik,0.08247422680412371,0.09090909090909091,0.32142857142857145,0.18421052631578946,0.07512953367875648,0.06870229007633588,0.09803921568627451,0.09473684210526316
AF251705,0.17525773195876287,0.05454545454545454,0.13095238095238096,0.21052631578947367,0.21243523316062177,0.183206106870229,0.16666666666666666,0.17894736842105263
Acsbg1,0.6288659793814433,0.7272727272727273,0.6309523809523809,0.6052631578947368,0.5958549222797928,0.6183206106870229,0.5490196078431373,0.5894736842105263
Adarb2,0.41237113402061853,0.36363636363636365,0.4880952380952381,0.39473684210526316,0.3860103626943005,0.3282442748091603,0.9656862745098039,0.8105263157894737
Adcyap1,0.030927835051546393,0.03636363636363636,0.5119047619047619,0.23684210526315788,0.04922279792746114,0.030534351145038167,0.0392156862745098,0.08421052631578947
Adora1,0.422680412371134,0.34545454545454546,0.6309523809523809,0.5263157894736842,0.4792746113989637,0.44274809160305345,0.24509803921568626,0.2736842105263158
Adra1b,0.16494845360824742,0.12727272727272726,0.21428571428571427,0.18421052631578946,0.24352331606217617,0.183206106870229,0.7058823529411765,0.49473684210526314
Aif1,0.422680412371134,0.45454545454545453,0.38095238095238093,0.5263157894736842,0.4948186528497409,0.4732824427480916,0.4166666666666667,0.43157894736842106
Ak4,0.15463917525773196,0.21818181818181817,0.30952380952380953,0.2631578947368421,0.17875647668393782,0.16793893129770993,0.16666666666666666,0.17894736842105263
Ak5,0.6288659793814433,0.38181818181818183,0.7023809523809523,0.39473684210526316,0.7849740932642487,0.48091603053435117,0.35784313725490197,0.3263157894736842
Aldh1b1,0.12371134020618557,0.16363636363636364,0.08333333333333333,0.13157894736842105,0.07512953367875648,0.1297709923664122,0.06862745098039216,0.031578947368421054
Aldoc,0.9587628865979382,0.9454545454545454,0.9047619047619048,0.868421052631579,0.9145077720207254,0.9007633587786259,0.9411764705882353,0.9368421052631579
Ankrd33b,0.5876288659793815,0.2727272727272727,0.7738095238095238,0.3684210526315789,0.4740932642487047,0.26717557251908397,0.24509803921568626,0.21052631578947367
Ano3,0.6494845360824743,0.38181818181818183,0.8571428571428571,0.5,0.8497409326424871,0.4961832061068702,0.37745098039215685,0.3368421052631579
Apoe,0.9175257731958762,0.9272727272727272,0.9404761904761905,0.9473684210526315,0.9300518134715026,0.9465648854961832,0.9068627450980392,0.9052631578947369
Aqp4,0.10309278350515463,0.2,0.08333333333333333,0.15789473684210525,0.14507772020725387,0.15267175572519084,0.13725490196078433,0.16842105263157894
Arc,0.41237113402061853,0.3090909090909091,0.8095238095238095,0.42105263157894735,0.6761658031088082,0.4580152671755725,0.27450980392156865,0.28421052631578947
Arhgap25,0.10309278350515463,0.12727272727272726,0.20238095238095238,0.18421052631578946,0.15544041450777202,0.1450381679389313,0.11274509803921569,0.15789473684210525
Arhgef10,0.3711340206185567,0.2,0.2619047619047619,0.15789473684210525,0.39896373056994816,0.21374045801526717,0.1568627450980392,0.16842105263157894
Arl4c,0.7216494845360825,0.34545454545454546,0.27380952380952384,0.21052631578947367,0.6683937823834197,0.5801526717557252,0.6225490196078431,0.5473684210526316
Arx,0.7216494845360825,0.4,0.03571428571428571,0.13157894736842105,0.7331606217616581,0.42748091603053434,0.3333333333333333,0.24210526315789474
Asic4,0.061855670103092786,0.09090909090909091,0.09523809523809523,0.10526315789473684,0.08549222797927461,0.06870229007633588,0.6176470588235294,0.43157894736842106
Aspa,0.020618556701030927,0.10909090909090909,0.09523809523809523,0.05263157894736842,0.08808290155440414,0.05343511450381679,0.09313725490196079,0.11578947368421053
Atp13a4,0.030927835051546393,0.10909090909090909,0.10714285714285714,0.10526315789473684,0.10362694300518134,0.07633587786259542,0.06862745098039216,0.07368421052631578
Atp1a2,0.979381443298969,0.9454545454545454,0.9880952380952381,0.9736842105263158,0.966321243523316,0.9847328244274809,0.9411764705882353,0.9894736842105263
Atp2b4,0.28865979381443296,0.32727272727272727,0.6785714285714286,0.6578947368421053,0.6217616580310881,0.4961832061068702,0.37254901960784315,0.3894736842105263
Atp6ap1l,0.08247422680412371,0.05454545454545454,0.5119047619047619,0.13157894736842105,0.04922279792746114,0.03816793893129771,0.05392156862745098,0.11578947368421053
B230216N24Rik,0.29896907216494845,0.12727272727272726,0.25,0.13157894736842105,0.4637305699481865,0.1450381679389313,0.16176470588235295,0.09473684210526316
BC030499,0.20618556701030927,0.01818181818181818,0.2857142857142857,0.18421052631578946,0.13730569948186527,0.03816793893129771,0.12254901960784313,0.08421052631578947
BC048546,0.20618556701030927,0.16363636363636364,0.40476190476190477,0.4473684210526316,0.20984455958549222,0.13740458015267176,0.19607843137254902,0.22105263157894736
Bcan,0.9175257731958762,0.6363636363636364,0.34523809523809523,0.39473684210526316,0.6398963730569949,0.48091603053435117,0.46078431372549017,0.4
Bcas1,0.3711340206185567,0.5818181818181818,0.44047619047619047,0.3157894736842105,0.5,0.48091603053435117,0.2647058823529412,0.4
Bcl11b,0.7938144329896907,0.36363636363636365,0.4166666666666667,0.3684210526315789,0.7331606217616581,0.5114503816793893,0.19117647058823528,0.21052631578947367
Bdnf,0.2268041237113402,0.2,0.7142857142857143,0.2894736842105263,0.22279792746113988,0.21374045801526717,0.1568627450980392,0.17894736842105263
Bhlhe40,0.5360824742268041,0.3090909090909091,0.8095238095238095,0.631578947368421,0.4430051813471503,0.366412213740458,0.2549019607843137,0.25263157894736843
Bmp3,0.020618556701030927,0.0,0.10714285714285714,0.05263157894736842,0.07772020725388601,0.061068702290076333,0.049019607843137254,0.05263157894736842
Btbd11,0.9587628865979382,0.6,0.15476190476190477,0.18421052631578946,0.772020725388601,0.48854961832061067,0.7794117647058824,0.5157894736842106
Btbd17,0.14432989690721648,0.23636363636363636,0.13095238095238096,0.21052631578947367,0.15284974093264247,0.1450381679389313,0.11764705882352941,0.16842105263157894
C1qa,0.4845360824742268,0.43636363636363634,0.4642857142857143,0.47368421052631576,0.5207253886010362,0.5267175572519084,0.4264705882352941,0.5789473684210527
C1qb,0.5360824742268041,0.509090909090909,0.5238095238095238,0.4473684210526316,0.533678756476684,0.5572519083969466,0.47549019607843135,0.5578947368421052
C1qc,0.4639175257731959,0.4727272727272727,0.39285714285714285,0.42105263157894735,0.5077720207253886,0.48854961832061067,0.37745098039215685,0.42105263157894735
C1ql3,0.07216494845360824,0.07272727272727272,0.19047619047619047,0.23684210526315788,0.05958549222797927,0.03816793893129771,0.07352941176470588,0.11578947368421053
C730002L08Rik,0.061855670103092786,0.03636363636363636,0.44047619047619047,0.05263157894736842,0.031088082901554404,0.007633587786259542,0.049019607843137254,0.08421052631578947
Calb1,0.31958762886597936,0.2909090909090909,0.2857142857142857,0.2631578947368421,0.6865284974093264,0.5114503816793893,0.25,0.25263157894736843
Calb2,0.29896907216494845,0.2909090909090909,0.2857142857142857,0.39473684210526316,0.4948186528497409,0.37404580152671757,0.7598039215686274,0.7052631578947368
Camk4,0.6597938144329897,0.41818181818181815,0.8571428571428571,0.6842105263157895,0.6787564766839378,0.5419847328244275,0.7205882352941176,0.5789473684210527
Car10,0.9381443298969072,0.9636363636363636,0.9880952380952381,0.9736842105263158,0.9792746113989638,0.9847328244274809,0.9656862745098039,0.9894736842105263
Car12,0.18556701030927836,0.18181818181818182,0.27380952380952384,0.3157894736842105,0.19430051813471502,0.183206106870229,0.22058823529411764,0.15789473684210525
Car14,0.041237113402061855,0.09090909090909091,0.08333333333333333,0.0,0.04145077720207254,0.015267175572519083,0.029411764705882353,0.042105263157894736
Cartpt,0.6185567010309279,0.23636363636363636,0.023809523809523808,0.18421052631578946,0.16062176165803108,0.11450381679389313,0.08333333333333333,0.06315789473684211
Cbln2,0.041237113402061855,0.16363636363636364,0.15476190476190477,0.15789473684210525,0.07253886010362694,0.09923664122137404,0.6813725490196079,0.5473684210526316
Cbln4,0.041237113402061855,0.07272727272727272,0.07142857142857142,0.05263157894736842,0.34196891191709844,0.15267175572519084,0.09313725490196079,0.08421052631578947
Cbs,0.21649484536082475,0.16363636363636364,0.23809523809523808,0.2894736842105263,0.25906735751295334,0.2366412213740458,0.20588235294117646,0.21052631578947367
Cck,0.7731958762886598,0.5454545454545454,0.8214285714285714,0.7105263157894737,0.38860103626943004,0.3969465648854962,0.5343137254901961,0.5684210526315789
Cckbr,0.36082474226804123,0.21818181818181817,0.5595238095238095,0.2631578947368421,0.3316062176165803,0.1450381679389313,0.08823529411764706,0.07368421052631578
Cd34,0.09278350515463918,0.18181818181818182,0.38095238095238093,0.13157894736842105,0.08808290155440414,0.09923664122137404,0.10784313725490197,0.11578947368421053
Cd53,0.1134020618556701,0.2,0.14285714285714285,0.18421052631578946,0.21243523316062177,0.183206106870229,0.14705882352941177,0.14736842105263157
Cd68,0.1958762886597938,0.16363636363636364,0.34523809523809523,0.23684210526315788,0.4015544041450777,0.29770992366412213,0.25980392156862747,0.25263157894736843
Cd9,0.20618556701030927,0.18181818181818182,0.2619047619047619,0.23684210526315788,0.22020725388601037,0.2366412213740458,0.2107843137254902,0.2
Cdc42ep1,0.041237113402061855,0.14545454545454545,0.09523809523809523,0.07894736842105263,0.07772020725388601,0.08396946564885496,0.058823529411764705,0.07368421052631578
Cdh12,0.865979381443299,0.8727272727272727,0.9642857142857143,0.8947368421052632,0.8471502590673575,0.7938931297709924,0.9705882352941176,0.8421052631578947
Cdh13,0.8247422680412371,0.5636363636363636,0.7380952380952381,0.5526315789473685,0.9145077720207254,0.732824427480916,0.7549019607843137,0.5894736842105263
Cdh8,0.5670103092783505,0.36363636363636365,0.8452380952380952,0.5526315789473685,0.7901554404145078,0.4351145038167939,0.7549019607843137,0.5052631578947369
Cdh9,0.7525773195876289,0.21818181818181817,0.2619047619047619,0.2894736842105263,0.8316062176165803,0.37404580152671757,0.28921568627450983,0.24210526315789474
Cdkl4,0.1958762886597938,0.12727272727272726,0.3333333333333333,0.15789473684210525,0.23056994818652848,0.15267175572519084,0.16666666666666666,0.08421052631578947
Cercam,0.26804123711340205,0.10909090909090909,0.17857142857142858,0.10526315789473684,0.31865284974093266,0.11450381679389313,0.24019607843137256,0.12631578947368421
Chst8,0.08247422680412371,0.12727272727272726,0.5595238095238095,0.2894736842105263,0.15284974093264247,0.12213740458015267,0.12745098039215685,0.07368421052631578
Cidea,0.07216494845360824,0.14545454545454545,0.14285714285714285,0.23684210526315788,0.13989637305699482,0.08396946564885496,0.43137254901960786,0.2631578947368421
Cldn10,0.32989690721649484,0.21818181818181817,0.23809523809523808,0.23684210526315788,0.38341968911917096,0.3053435114503817,0.19117647058823528,0.16842105263157894
Cldn11,0.08247422680412371,0.18181818181818182,0.10714285714285714,0.05263157894736842,0.09326424870466321,0.061068702290076333,0.1323529411764706,0.07368421052631578
Clic5,0.030927835051546393,0.03636363636363636,0.09523809523809523,0.02631578947368421,0.08808290155440414,0.04580152671755725,0.049019607843137254,0.05263157894736842
Cmtm5,0.27835051546391754,0.41818181818181815,0.32142857142857145,0.5526315789473685,0.4274611398963731,0.4122137404580153,0.39705882352941174,0.37894736842105264
Cnp,0.4639175257731959,0.5272727272727272,0.4880952380952381,0.42105263157894735,0.5414507772020726,0.40458015267175573,0.35294117647058826,0.3894736842105263
Cnr1,0.5154639175257731,0.16363636363636364,0.5952380952380952,0.3157894736842105,0.6658031088082902,0.2595419847328244,0.9166666666666666,0.5894736842105263
Cntnap3,0.845360824742268,0.2727272727272727,0.047619047619047616,0.10526315789473684,0.7823834196891192,0.29770992366412213,0.24509803921568626,0.15789473684210525
Cntnap4,0.9278350515463918,0.5272727272727272,0.5476190476190477,0.39473684210526316,0.7020725388601037,0.3969465648854962,0.5980392156862745,0.3263157894736842
Cntnap5c,0.8762886597938144,0.5636363636363636,0.5357142857142857,0.5526315789473685,0.8082901554404145,0.5190839694656488,0.7990196078431373,0.5473684210526316
Cobl,0.24742268041237114,0.21818181818181817,0.8452380952380952,0.4473684210526316,0.37823834196891193,0.26717557251908397,0.35294117647058826,0.3473684210526316
Coch,0.20618556701030927,0.10909090909090909,0.47619047619047616,0.18421052631578946,0.20725388601036268,0.06870229007633588,0.14705882352941177,0.09473684210526316
Col19a1,0.9484536082474226,0.6909090909090909,0.30952380952380953,0.5526315789473685,0.883419689119171,0.5801526717557252,0.5637254901960784,0.42105263157894735
Col5a1,0.17525773195876287,0.10909090909090909,0.16666666666666666,0.13157894736842105,0.15544041450777202,0.15267175572519084,0.4264705882352941,0.22105263157894736
Col6a1,0.010309278350515464,0.01818181818181818,0.27380952380952384,0.10526315789473684,0.08549222797927461,0.04580152671755725,0.029411764705882353,0.0
Coro6,0.9175257731958762,0.43636363636363634,0.4166666666666667,0.15789473684210525,0.8005181347150259,0.4122137404580153,0.09313725490196079,0.06315789473684211
Cort,0.5567010309278351,0.2909090909090909,0.047619047619047616,0.05263157894736842,0.6269430051813472,0.5267175572519084,0.31862745098039214,0.21052631578947367
Cox6a2,0.8350515463917526,0.4727272727272727,0.05952380952380952,0.07894736842105263,0.07512953367875648,0.11450381679389313,0.2107843137254902,0.2736842105263158
Cplx3,0.05154639175257732,0.05454545454545454,0.11904761904761904,0.02631578947368421,0.04404145077720207,0.015267175572519083,0.06862745098039216,0.042105263157894736
Cpne5,0.3917525773195876,0.45454545454545453,0.5119047619047619,0.47368421052631576,0.772020725388601,0.5954198473282443,0.45588235294117646,0.42105263157894735
Cpne7,0.09278350515463918,0.16363636363636364,0.7380952380952381,0.3684210526315789,0.32124352331606215,0.2366412213740458,0.8578431372549019,0.5263157894736842
Cpne9,0.27835051546391754,0.12727272727272726,0.25,0.18421052631578946,0.2694300518134715,0.1297709923664122,0.27450980392156865,0.2
Crh,0.041237113402061855,0.05454545454545454,0.047619047619047616,0.02631578947368421,0.24611398963730569,0.183206106870229,0.6372549019607843,0.5052631578947369
Crhbp,0.5154639175257731,0.43636363636363634,0.13095238095238096,0.23684210526315788,0.7383419689119171,0.5801526717557252,0.1568627450980392,0.25263157894736843
Crhr1,0.07216494845360824,0.10909090909090909,0.4642857142857143,0.18421052631578946,0.08031088082901554,0.061068702290076333,0.20098039215686275,0.15789473684210525
