,x,y,dataset,driver
716855459,-0.62785757,5.6689944,MET,Other
716864944,-0.74304473,5.5148716,MET,Other
736473487,-0.73887795,5.558817,MET,Other
639216521,-0.3743977,5.6251383,MET,Other
642488015,-0.680613,5.41533,MET,Other
642827810,-0.68527776,5.5148335,MET,Other
644957513,-0.092020564,4.982409,MET,Other
644994103,-0.68580174,5.652358,MET,Other
645000287,-0.64161897,6.388642,MET,Other
645158069,0.08742261,5.083503,MET,Other
650156059,0.92860365,2.114858,MET,Other
653024237,-0.57418627,6.225309,MET,Other
657185314,-0.68901765,5.4957585,MET,Other
657194483,-0.54900414,5.586177,MET,Other
657945461,-0.053593595,5.099152,MET,Other
658441785,-0.2653929,5.6505833,MET,Other
658477694,-0.21969467,5.8477025,MET,Other
674556708,-0.62723523,6.476333,MET,Other
675025710,-0.44860762,5.8763804,MET,Other
676757248,-0.46607232,6.2093954,MET,Other
680898048,2.1242993,0.9672437,MET,Other
691685873,-0.306016,5.912776,MET,Other
701155312,-0.5501174,5.6680007,MET,Other
701684250,-0.4269905,6.316992,MET,Other
707666779,-0.6031663,5.9789095,MET,Other
707681894,-0.79000807,5.43682,MET,Other
708513415,0.1649672,5.4224324,MET,Other
716556217,-0.40366304,5.868422,MET,Other
716832846,-0.47521606,5.705371,MET,Other
716838742,-1.1610242,5.9774556,MET,Other
730867067,-0.40335757,5.5757227,MET,Other
730878829,-0.83256423,6.056768,MET,Other
731974838,-0.8134386,5.364949,MET,Other
734802524,0.29974392,4.862979,MET,Other
743770160,-0.058836855,5.7256455,MET,Other
834073873,0.035784293,5.8152304,MET,Other
891449886,-0.56747437,6.2991004,MET,Other
637824915,-0.5236637,5.2757015,MET,Other
639689999,-0.5465329,6.20824,MET,Other
640106803,-0.62667686,5.529737,MET,Other
643501610,0.053779095,5.671381,MET,Other
645009607,-0.13753399,5.712363,MET,Other
652300499,-0.30577412,5.47925,MET,Other
652303366,0.052811656,5.448078,MET,Other
653024481,-0.7949298,5.236767,MET,Other
654689557,0.17873786,2.7943656,MET,Other
658103346,-0.99467427,6.075963,MET,Other
658435131,-0.27757844,5.584707,MET,Other
658604834,-0.25342926,5.723584,MET,Other
674559170,0.35275045,4.855319,MET,Other
674582479,-1.092537,6.002703,MET,Other
680964142,-0.25159138,5.601566,MET,Other
682163968,0.110345,5.724674,MET,Other
682177103,0.045779243,5.6518292,MET,Other
691673416,-0.5786509,5.4254937,MET,Other
697764035,-0.13062981,5.204968,MET,Other
708696754,-0.62413883,6.6829686,MET,Other
708766941,-0.33413216,6.034878,MET,Other
709447918,-0.16520289,6.0876956,MET,Other
709453221,-0.44914562,5.472335,MET,Other
711477649,-0.90804714,6.9402,MET,Other
714701049,-1.2088917,5.850029,MET,Other
714722191,0.19485842,5.6574016,MET,Other
717655913,-1.1249249,5.3609734,MET,Other
727146579,-0.1939234,5.775779,MET,Other
733375567,-1.2507142,6.1796374,MET,Other
733537608,-0.82902265,5.5568566,MET,Other
637866154,-0.45253727,6.1341586,MET,Other
638246905,-0.645181,5.4543953,MET,Other
642124659,-0.6357256,6.286883,MET,Other
653677436,0.07823589,4.9349847,MET,Other
658124114,0.055511277,5.4078417,MET,Other
674257022,-0.014952479,5.270065,MET,Other
682158343,-0.63416475,5.4368653,MET,Other
685382599,-0.30840233,5.685998,MET,Other
701148434,-0.76354927,5.8424516,MET,Other
711510463,-0.45379478,5.875676,MET,Other
716591702,-0.0588027,5.035052,MET,Other
717770635,0.0022511755,5.0617456,MET,Other
746102029,-0.09453856,5.799778,MET,Other
746172313,0.038095344,5.3219805,MET,Other
764834652,-0.72342783,5.588318,MET,Other
797062169,-0.55084586,5.6851616,MET,Other
824701767,-0.24494186,5.7495294,MET,Other
824840538,-0.5325005,5.664498,MET,Other
642110310,-0.7732303,5.884021,MET,Other
643251590,0.06446129,5.3474436,MET,Other
644936843,-0.1274464,5.760304,MET,Other
644946408,-0.90457183,6.0917797,MET,Other
661401628,-0.3355365,5.9286313,MET,Other
716846357,-1.0544786,5.8932414,MET,Other
740329222,-0.76607025,5.55308,MET,Other
740377985,-0.76419765,5.6368465,MET,Other
764484965,-0.3596846,5.250418,MET,Other
764901694,-0.41708928,5.198646,MET,Other
764902707,-0.34175187,5.3681903,MET,Other
788362658,-1.2288357,5.8690243,MET,Other
742016193,-1.0947418,5.975231,MET,Other
764899933,-0.31635386,5.2443504,MET,Other
766774703,-0.50376827,5.6386046,MET,Other
828803869,-0.79753494,5.504892,MET,Other
894551006,-0.43515268,6.2051134,MET,Other
797113792,-0.3212384,5.6940465,MET,Other
827503672,-0.7567727,5.531096,MET,Other
844254029,-1.0144879,5.947649,MET,Other
848635223,-0.22003467,5.860863,MET,Other
886464017,0.41315883,4.817106,MET,Other
886482499,-0.6535025,5.9772716,MET,Other
920529583,-0.6129157,5.63301,MET,Other
1003020818,0.015078648,5.0335855,MET,Other
891558548,-0.53556865,5.4058623,MET,Other
675027801,-0.5415108,6.1294994,MET,Other
639796648,-0.5477562,6.026359,MET,Other
669567574,-0.6176313,5.549667,MET,Other
659697295,-0.8074672,6.8078856,MET,Other
761409397,8.867712,6.599538,MET,Pvalb-IRES-Cre
658411218,0.33831343,4.8096623,MET,Other
866337101,0.033060238,4.978523,MET,Other
644738459,-0.30006564,5.3594656,MET,Other
645016286,0.70235807,4.2927666,MET,Other
717675736,-1.2142993,6.1928844,MET,Other
823681740,-0.8211969,6.143484,MET,Pvalb-IRES-Cre
637833144,-0.44277024,5.1499267,MET,Other
844269667,-0.17210622,4.9966226,MET,Other
741202597,0.4140236,4.7937665,MET,Other
766068893,-0.89220816,5.9902396,MET,Other
850990055,-0.10763284,5.2559395,MET,Other
652305423,0.09829059,5.6590147,MET,Other
764479836,-1.2301073,5.90522,MET,Other
637381329,-1.1356311,5.630617,MET,Other
639018814,-0.4520232,5.728259,MET,Other
689256816,-1.1224418,5.7913704,MET,Other
889337361,0.12001994,4.9884357,MET,Other
764500049,-0.8486794,5.3407283,MET,Other
834160937,-0.9050133,6.431133,MET,Other
726156251,-0.9194273,5.19478,MET,Other
710345218,-0.8504069,7.030246,MET,Other
742716700,-0.30923936,6.331263,MET,Other
766756729,0.012687731,5.7865205,MET,Other
766764831,-0.66010803,5.912317,MET,Other
714722221,-0.946762,7.1363535,MET,Other
732773383,-1.188988,6.5047603,MET,Other
734651498,-0.2799064,6.100168,MET,Other
870661094,-0.75287706,6.788725,MET,Other
711483278,-0.95395696,7.1510234,MET,Other
724799969,10.241289,4.847296,MET,Other
689145054,-0.5354711,6.9501495,MET,Other
743752095,0.27627954,4.372175,MET,Other
1029238513,-1.0071574,6.4998345,MET,Other
767356004,-0.76070154,6.71396,MET,Other
874471721,-0.35153753,5.5119834,MET,Other
1029098232,-0.7889199,6.619683,MET,Other
687104367,-0.538797,6.662481,MET,Other
1029245743,-1.0741583,5.956243,MET,Other
862496009,0.97443295,3.1994867,MET,Other
921933017,0.83540565,3.2347386,MET,Other
992830261,0.91171944,3.281338,MET,Other
913913134,0.9340047,2.8682995,MET,Other
924739827,0.8046815,3.1105018,MET,Other
859034131,2.1333065,3.1477005,MET,Other
941824942,0.8710545,3.3964767,MET,Other
855401446,1.5857315,3.820187,MET,Other
859062972,0.8548394,3.3826761,MET,Other
921885695,3.5252402,1.4178971,MET,Other
936069667,1.8969364,2.0104048,MET,Other
940756541,4.852122,0.9629381,MET,Other
739829029,3.7019439,1.0223747,MET,Other
854359267,4.4837923,1.1384561,MET,Other
855798106,5.5018716,0.88107723,MET,Other
643536919,3.9119132,0.82819885,MET,Other
861740206,3.88838,0.7207549,MET,Other
913924619,3.8898976,1.204895,MET,Other
861765347,3.7738686,0.82095486,MET,Other
714755043,4.264276,2.4372184,MET,Other
714485370,1.3505596,3.1947348,MET,Vip-IRES-Cre
921993647,5.716606,-0.19325404,MET,Other
855791035,3.8683918,1.5760924,MET,Other
857326083,3.4320524,1.3802373,MET,Other
799776604,5.756685,0.4712308,MET,Other
992825872,3.8503892,0.82498497,MET,Other
858029990,3.6839466,1.3843702,MET,Other
945093559,3.968882,1.4948348,MET,Other
925444752,2.0693874,3.9462624,MET,Other
855782996,4.6299634,1.2006918,MET,Other
921834822,3.784584,0.90636754,MET,Other
673692648,3.7718828,0.8194719,MET,Other
716591444,4.0822515,0.8405125,MET,Other
763912380,3.6535957,1.0159873,MET,Other
913871486,3.847113,1.4897436,MET,Other
913928092,5.9333954,0.36847502,MET,Other
935032340,3.8590124,1.1270244,MET,Other
942897216,3.936091,1.2155178,MET,Other
993255024,5.402314,-0.18057844,MET,Other
993283588,3.952418,1.6409466,MET,Other
652516963,3.8054376,0.81906205,MET,Other
856013011,4.422066,1.0539653,MET,Other
892650783,4.1185455,1.4356471,MET,Other
941935110,3.9209137,1.5186799,MET,Other
855995114,3.926096,1.4681863,MET,Other
942814442,3.8781085,1.6851257,MET,Other
975296528,5.1957107,0.94715714,MET,Other
992026677,5.7686152,0.14606906,MET,Other
940073869,4.042346,1.4062343,MET,Other
922887201,4.049752,2.00103,MET,Other
941846857,3.8896995,1.5090476,MET,Other
936008145,3.761679,1.3029311,MET,Other
857223181,3.9095876,1.512098,MET,Other
855469447,7.725865,3.427545,MET,Other
993245688,4.0269327,1.6520476,MET,Other
857332144,3.9219823,1.6083578,MET,Other
941859781,3.8301258,1.6857259,MET,Other
859664949,3.8029957,0.8454546,MET,Other
942840837,3.7418644,0.7457195,MET,Other
830434392,3.7501626,1.8445956,MET,Other
941794256,3.811349,1.7140801,MET,Other
672871389,3.8243084,0.81786716,MET,Other
862449566,3.5931752,1.3091793,MET,Other
858105879,7.6577907,1.0226555,MET,Other
941868688,3.956362,1.7072386,MET,Other
805442497,3.773259,0.76583725,MET,Other
993257597,3.8540218,0.83205867,MET,Other
935112248,3.9783897,1.1819077,MET,Other
799782164,5.337136,1.3012532,MET,Other
919052847,1.2531644,3.1784163,MET,Other
922811478,1.2757592,3.3720765,MET,Other
939985858,2.533495,3.032688,MET,Other
992015950,2.1377027,3.0517216,MET,Other
715162865,3.1630259,3.8029804,MET,Vip-IRES-Cre
799826452,1.3239297,2.6462069,MET,Other
701750976,1.6608658,3.3731534,MET,Other
714734088,8.509873,0.6747635,MET,Other
716592645,1.6251612,3.9234707,MET,Other
799851179,1.907075,3.3613095,MET,Other
854401571,0.7823858,2.9586842,MET,Other
857220013,1.329518,3.4409058,MET,Other
858075806,1.7831994,4.054484,MET,Other
858326660,1.4198306,3.6392903,MET,Other
858981986,2.0039494,3.0910442,MET,Other
859660174,0.8568448,3.0189784,MET,Other
859767167,1.4977089,3.587282,MET,Other
992386952,1.7803417,3.4687858,MET,Other
993278158,1.5622306,3.2195828,MET,Other
714673962,3.0195563,1.7265016,MET,Other
693144614,1.4692043,3.657582,MET,Vip-IRES-Cre
856021805,3.5563054,1.3439935,MET,Other
857265386,1.617474,3.533788,MET,Other
857296784,1.4725382,3.3615386,MET,Other
858054077,0.85084265,3.359553,MET,Other
858966539,3.6787834,1.4194775,MET,Other
861765455,1.1523277,3.1941009,MET,Other
862596299,0.875053,3.0339332,MET,Other
992430562,1.3216081,3.1902788,MET,Other
992825900,1.3762277,3.425327,MET,Other
696136783,1.5835057,2.9201634,MET,Vip-IRES-Cre
716298521,1.4819345,3.208838,MET,Other
858374478,1.3227308,3.177347,MET,Other
859655391,0.88313836,3.3098521,MET,Other
862412491,1.2400236,3.541054,MET,Other
923013541,1.6082201,3.4600496,MET,Other
946190769,1.3396256,3.2394555,MET,Other
992430607,3.2052522,3.8413532,MET,Other
992830071,1.4930799,3.6543784,MET,Other
766186881,1.4263313,3.4636931,MET,Other
855290546,1.4782287,3.5696056,MET,Other
855488203,3.335849,0.99043447,MET,Other
855499924,1.6965042,2.942236,MET,Other
855538766,1.6691022,3.6521566,MET,Other
855550739,1.5677104,3.6267848,MET,Other
855946205,1.1000369,3.110241,MET,Other
856040562,1.8324761,3.5918467,MET,Other
858114857,1.1110078,3.0041184,MET,Other
858305576,1.3490556,3.317134,MET,Other
859107907,1.827627,3.7967205,MET,Other
913883108,1.0818033,3.4077082,MET,Other
913901697,1.1827216,3.4062734,MET,Other
913936238,1.7858157,3.3175797,MET,Other
919089515,1.2241421,3.5638702,MET,Other
922942671,0.90842694,2.9619997,MET,Other
923008740,1.5066243,3.4732366,MET,Other
924745230,1.8929309,3.7589653,MET,Other
946167953,2.1465063,2.0285199,MET,Other
978216850,2.1777349,3.070232,MET,Other
992004587,1.0644352,3.124069,MET,Other
993273380,1.3996155,3.6703248,MET,Other
859811797,1.6584879,2.778221,MET,Other
993268300,1.4317969,3.5297046,MET,Other
922877650,2.3654003,2.764721,MET,Other
855448972,4.2286763,0.9603444,MET,Other
764803093,1.8505849,3.5202467,MET,Other
855823375,3.8224115,1.7575381,MET,Other
992003760,3.7113054,0.8492855,MET,Other
637839160,4.0852346,1.6170219,MET,Other
757286344,1.4305234,3.4462848,MET,Other
861736319,4.3882713,1.3119669,MET,Other
800285940,1.6833862,3.2586956,MET,Other
921964597,0.87143755,3.2976613,MET,Other
941802910,4.311408,0.9417038,MET,Other
714936352,1.37362,3.3470764,MET,Vip-IRES-Cre
759558762,3.4492393,1.1673036,MET,Other
921928004,3.8506567,1.0065006,MET,Other
743001170,3.6650167,1.3767362,MET,Other
922942375,1.0507028,3.21665,MET,Other
834099738,1.6383177,3.608695,MET,Other
716846733,1.6939164,3.2969189,MET,Other
858115178,0.9910606,3.2118955,MET,Other
859098329,2.0575976,3.7546368,MET,Other
917609533,0.9040675,3.0850594,MET,Other
861733930,1.7705139,3.6381142,MET,Other
736490544,0.87096155,4.045557,MET,Other
755615266,1.3557823,3.4779,MET,Other
800315854,0.14384243,4.634123,MET,Other
760878397,1.1286775,3.2494512,MET,Other
761532980,3.2282658,1.8329196,MET,Other
813500978,0.98602015,3.831563,MET,Other
760379237,0.77703923,4.332511,MET,Other
759530125,1.5221499,3.4789445,MET,Vip-IRES-Cre
746172137,0.9078428,4.1336203,MET,Other
759529127,1.3681024,3.554704,MET,Other
680424620,1.0844378,3.4697294,MET,Vip-IRES-Cre
732017877,5.4188623,2.861705,MET,Other
825533924,5.9502673,2.7779067,MET,Other
691547521,6.2761793,2.4772666,MET,Other
707666602,1.122693,0.47748432,MET,Other
639674270,1.2691141,3.2782528,MET,Other
678690024,0.6638461,3.1668324,MET,Vip-IRES-Cre
704652028,2.233269,2.0837667,MET,Other
717732762,1.7934874,1.1355298,MET,Other
656880843,1.8864921,1.6865901,MET,Vip-IRES-Cre
685314490,1.0507203,3.4357026,MET,Other
697798908,1.4606861,0.9054753,MET,Other
675026566,1.746033,1.1776586,MET,Other
744211669,2.5143697,2.785022,MET,Other
757309042,1.4312406,1.6088114,MET,Other
761541320,4.978829,1.1084164,MET,Other
761552392,2.7363753,2.8556201,MET,Other
766751371,2.6461256,3.1452825,MET,Other
779996941,0.6146139,1.3392521,MET,Other
744283290,1.7010778,1.5929208,MET,Other
700413526,0.8973261,3.1402912,MET,Vip-IRES-Cre
743375295,1.7268809,1.080819,MET,Other
739710455,1.2272118,1.1555551,MET,Other
805657520,0.6548118,1.8291641,MET,Vip-IRES-Cre
739851455,1.3470535,2.0320385,MET,Other
704282606,1.6060501,0.62921697,MET,Vip-IRES-Cre
682131764,1.6608576,1.1375278,MET,Vip-IRES-Cre
800245677,1.5309162,2.1478884,MET,Other
674566874,0.9449676,2.4063506,MET,Other
741228389,1.3868628,0.92647773,MET,Other
695289158,1.9429784,2.3843548,MET,Vip-IRES-Cre
780578676,0.60347223,2.45829,MET,Other
697799017,2.7691772,1.8643492,MET,Other
639715846,2.223964,1.2699181,MET,Other
691719142,2.3689322,1.9587352,MET,Other
738041308,3.0583298,2.4517112,MET,Vip-IRES-Cre
680563587,1.7114367,0.8190136,MET,Vip-IRES-Cre
681359761,1.583775,0.96715856,MET,Vip-IRES-Cre
692286150,2.306596,1.711874,MET,Vip-IRES-Cre
694734857,2.6340618,1.6278158,MET,Vip-IRES-Cre
716760772,2.2880716,1.5285188,MET,Vip-IRES-Cre
736493111,2.0252888,1.6275226,MET,Other
738709906,2.4559977,1.879361,MET,Vip-IRES-Cre
758142335,2.674387,2.2071664,MET,Vip-IRES-Cre
803312598,1.7326932,1.8612177,MET,Vip-IRES-Cre
803599821,2.2969604,1.9780121,MET,Other
829185764,0.98709327,1.9799037,MET,Vip-IRES-Cre
831179799,2.949595,2.8621278,MET,Vip-IRES-Cre
737232125,1.475376,0.9564334,MET,Other
810634557,2.1494567,1.1867157,MET,Vip-IRES-Cre
898703349,2.1242723,1.208491,MET,Vip-IRES-Cre
642791355,2.2057002,1.4597529,MET,Vip-IRES-Cre
674251116,2.387197,2.0704734,MET,Other
760050336,2.7483218,2.5113893,MET,Vip-IRES-Cre
898709217,1.9604775,2.071582,MET,Vip-IRES-Cre
844875592,2.3220568,1.9834026,MET,Vip-IRES-Cre
886442617,1.4198866,1.4451175,MET,Other
642569032,2.9198773,2.9410377,MET,Vip-IRES-Cre
697811314,2.4019933,1.3637527,MET,Other
637321656,2.4687417,1.2331662,MET,Vip-IRES-Cre
674260498,1.8370503,1.580629,MET,Other
676685241,7.1020393,1.8077475,MET,Vip-IRES-Cre
758263126,2.459176,1.3128486,MET,Vip-IRES-Cre
755913304,2.8591928,2.8380973,MET,Other
659134440,2.6001778,1.1979347,MET,Vip-IRES-Cre
738873268,2.3750648,2.4078465,MET,Vip-IRES-Cre
716330705,1.929288,1.2677308,MET,Other
761344650,2.518691,1.22564,MET,Vip-IRES-Cre
766689751,1.9866682,2.516618,MET,Other
744053590,1.9281701,2.4244833,MET,Other
812945358,1.0451702,0.97784215,MET,Vip-IRES-Cre
844931163,2.3499987,1.957552,MET,Vip-IRES-Cre
714428827,2.0685627,1.1467284,MET,Vip-IRES-Cre
678708195,4.895312,4.61699,MET,Vip-IRES-Cre
805697399,2.566968,1.1893686,MET,Vip-IRES-Cre
679226264,6.008644,1.8182979,MET,Vip-IRES-Cre
672871774,2.0833864,2.3005886,MET,Other
739718533,1.4364179,0.78538877,MET,Other
676702674,2.0239112,2.0277786,MET,Vip-IRES-Cre
692247628,2.378978,1.3618981,MET,Vip-IRES-Cre
680122965,1.5898632,1.1395762,MET,Vip-IRES-Cre
761820827,2.8487635,2.8874211,MET,Vip-IRES-Cre
737474865,2.25656,1.74565,MET,Vip-IRES-Cre
645155357,1.4677767,0.7930662,MET,Other
639002031,4.2705383,0.6834705,MET,Vip-IRES-Cre
715147348,0.5728884,1.7895231,MET,Vip-IRES-Cre
803591738,0.59373236,1.2104715,MET,Other
659141131,0.9935166,0.5645875,MET,Vip-IRES-Cre
639210975,0.5188309,1.8170707,MET,Other
759945868,0.6351797,1.1946639,MET,Vip-IRES-Cre
743402684,0.4434339,2.5669017,MET,Other
656947910,1.0336449,0.55228776,MET,Vip-IRES-Cre
713886995,0.67655694,1.7997698,MET,Vip-IRES-Cre
715148321,0.96789044,0.58741385,MET,Vip-IRES-Cre
672877147,1.6008371,0.5948234,MET,Other
761743293,1.061915,0.56015503,MET,Vip-IRES-Cre
648038863,0.7996669,1.9787515,MET,Vip-IRES-Cre
679649396,0.82638454,2.4547913,MET,Vip-IRES-Cre
648256721,1.0824175,1.822866,MET,Vip-IRES-Cre
716008621,1.5994177,1.7262392,MET,Vip-IRES-Cre
844919153,0.93443847,1.2630529,MET,Vip-IRES-Cre
649666842,1.9744235,1.7601975,MET,Vip-IRES-Cre
681800619,1.3679802,0.68491554,MET,Vip-IRES-Cre
710230349,1.4282743,1.5812068,MET,Vip-IRES-Cre
740177619,1.0967,1.0314301,MET,Vip-IRES-Cre
739761814,1.3066583,1.9863179,MET,Other
766752186,0.98945856,2.1550565,MET,Other
736805833,1.1951373,0.595349,MET,Vip-IRES-Cre
759544966,1.0999465,1.1804392,MET,Vip-IRES-Cre
767251829,1.4953741,0.95655006,MET,Other
737483106,1.0726492,1.361243,MET,Vip-IRES-Cre
739843300,1.4987154,1.354478,MET,Other
759762537,1.2460306,1.2088776,MET,Vip-IRES-Cre
