,x,y,dataset,driver
855275163,2.0797172,3.5268137,MET,Other
935084855,2.0064363,3.6442304,MET,Other
710346584,-0.043407436,4.8851547,MET,Other
987138425,-0.047996387,5.0243964,MET,Other
916642385,3.166073,3.849438,MET,Other
993243528,8.990705,4.445016,MET,Other
764341238,0.448894,4.414567,MET,Other
888001481,0.09383505,4.593358,MET,Other
736493069,-0.15009604,5.1528745,MET,Other
644941196,0.762428,4.459074,MET,Other
658075752,-0.14319295,5.5831347,MET,Other
652959904,1.8253942,4.0258393,MET,Other
750773551,1.5752572,4.227408,MET,Other
867017156,1.6497117,4.1555314,MET,Other
888214374,0.6250086,4.5152836,MET,Other
724770442,8.9648285,1.5956227,MET,Other
766049138,0.77043754,4.524745,MET,Other
638212024,0.08635564,5.0506673,MET,Other
823889517,0.973671,3.8799706,MET,Other
844242654,0.7111358,3.8189151,MET,Other
657585527,2.4540818,3.1760647,MET,Other
726192665,0.84277064,4.2372723,MET,Other
730829986,0.28397202,3.0108955,MET,Other
731882356,0.54733497,4.448863,MET,Other
658068133,-0.53093934,5.203619,MET,Other
667492404,0.9694853,4.327557,MET,Other
718849411,-0.6100035,5.2853193,MET,Other
823719680,0.7098875,4.093203,MET,Other
658089840,0.017526697,5.207645,MET,Other
667478506,0.8314869,4.270357,MET,Other
668489573,0.56878513,4.6169453,MET,Other
671943738,2.0224974,3.1207943,MET,Other
701751335,1.9459213,2.7154744,MET,Other
711577762,-0.7763711,5.0110226,MET,Other
764464218,3.1448386,1.9695249,MET,Other
750780017,-0.96316475,5.302548,MET,Other
823745688,-0.76687735,5.19954,MET,Other
866307762,-0.12998362,4.8433347,MET,Other
823968176,0.23052666,4.7119136,MET,Other
889183564,-0.022095498,4.993496,MET,Other
650172921,0.7612562,4.249435,MET,Other
867015583,4.442166,3.6901617,MET,Other
648594299,0.52385974,4.595478,MET,Other
891534772,-0.8502476,5.155742,MET,Other
650161028,1.8819107,2.9587321,MET,Other
889266673,-0.74462533,5.195407,MET,Other
832005570,0.55834293,4.566283,MET,Vip-IRES-Cre
888115032,0.04672264,4.8751945,MET,Other
700193566,-0.95806235,5.550131,MET,Other
670666224,1.7274661,2.6652644,MET,Other
891495976,0.11557407,4.7652054,MET,Other
888108541,0.5215608,4.3188725,MET,Other
828727693,0.16094747,5.309324,MET,Other
741225385,-0.9057051,6.490132,MET,Other
650132917,-0.77793044,6.6065936,MET,Other
867176038,-0.5445964,6.418758,MET,Other
652956700,0.5912362,4.2303286,MET,Other
689279957,1.8989723,3.8410265,MET,Other
714717722,0.49816966,4.588673,MET,Other
649012415,-0.38515183,5.260541,MET,Other
668242473,-1.1947207,6.0209327,MET,Other
674238265,0.32716212,4.381995,MET,Other
750378755,0.06880156,4.86907,MET,Other
750421101,-0.25640103,4.9661818,MET,Other
826710259,-0.30681077,5.579541,MET,Other
711508435,-1.3350466,6.0892425,MET,Other
667490926,0.54564625,4.396496,MET,Other
670607755,-0.6851294,5.9499865,MET,Other
686334539,-0.83248895,5.0331616,MET,Other
706531340,-0.09895261,6.0424805,MET,Other
746086313,0.23422168,4.7112136,MET,Other
764901187,1.0763224,3.3896396,MET,Other
825522397,0.31647724,4.772464,MET,Other
888080861,0.6479734,4.097282,MET,Other
889235347,0.32849842,5.2745547,MET,Other
658097786,0.7719834,4.2340727,MET,Other
670534322,0.81618476,4.4670486,MET,Other
674246494,-0.9146716,6.383297,MET,Other
674471452,0.4560417,4.5706654,MET,Other
691665864,0.40024665,4.4612465,MET,Other
707660063,-1.232044,6.0365324,MET,Other
707678952,0.7425797,4.4678326,MET,Other
717637005,-1.1414578,5.8202543,MET,Other
724191966,-1.0106841,6.0620313,MET,Other
724744790,-0.65053,6.1090384,MET,Other
724756081,-0.19101438,4.91152,MET,Other
724802323,-1.1368204,6.509983,MET,Other
731917470,0.5639618,4.3504114,MET,Other
644919379,-0.57003695,5.798443,MET,Other
645075128,2.0023878,3.1563075,MET,Other
667300994,-0.36289465,5.6763577,MET,Other
667478348,0.66684586,4.299761,MET,Other
686334676,0.34878337,4.899893,MET,Other
826712572,4.933452,1.3986403,MET,Other
826739825,-0.48123008,6.1193194,MET,Other
844232846,-0.6439828,6.4922476,MET,Other
644946047,-1.2164389,6.4434094,MET,Other
667306013,-0.2362084,5.3756237,MET,Other
697811820,-0.75648326,6.0336475,MET,Other
788400935,-1.3307905,6.114665,MET,Other
742022294,-1.2080014,5.784781,MET,Other
825525155,-1.0901222,6.2049065,MET,Other
827573535,0.5840054,4.2736626,MET,Other
845586342,0.2881534,4.7558255,MET,Other
867096689,-0.1402152,5.7776246,MET,Other
867130068,0.12460265,4.767623,MET,Other
674247723,-1.1189493,5.9987144,MET,Other
827347629,-0.20018588,4.923389,MET,Other
891514933,-0.32638115,5.1564436,MET,Other
649382312,3.1757061,1.584227,MET,Other
652812484,-1.1872185,6.33696,MET,Other
652953931,1.7661915,3.3792841,MET,Other
658061248,0.7122816,4.4534435,MET,Other
711572453,-1.3769888,5.9258623,MET,Other
653199987,-0.097241156,5.593053,MET,Other
788349250,-1.3329014,6.019882,MET,Other
866267921,0.78619576,4.409608,MET,Other
844231938,0.27157846,4.5086365,MET,Other
658424080,-0.36726928,5.944357,MET,Other
700161354,-0.4179518,5.0281587,MET,Other
645169930,-0.90595007,6.8354163,MET,Other
741977538,-0.7730136,5.1202044,MET,Other
891652412,-0.07206312,4.8914084,MET,Other
827448258,-1.1380513,5.6789575,MET,Other
667493822,0.719009,4.267754,MET,Other
821652024,1.9550978,3.308322,MET,Other
764899841,1.7165316,3.0174906,MET,Other
764897253,-0.38240167,5.4026403,MET,Other
825525063,0.47139528,4.519921,MET,Other
708479383,-0.48278522,6.061575,MET,Other
825549510,-1.007561,5.3224535,MET,Other
673724358,-1.2644804,5.7152195,MET,Other
825534003,2.281533,3.2929907,MET,Other
642842839,-0.6103728,6.308992,MET,Other
764391439,2.316679,3.3878832,MET,Other
750786577,0.056267124,4.8355174,MET,Other
731990749,-1.0848534,5.9749055,MET,Other
659700506,-0.50247806,6.1385727,MET,Other
659147142,-0.86849505,5.837267,MET,Other
788256204,0.637821,4.235312,MET,Other
764898234,-0.6416232,5.4030256,MET,Other
668423181,3.210115,1.9663113,MET,Other
834050047,0.629502,4.4276805,MET,Other
797153425,1.9189922,3.0520625,MET,Other
934799128,-0.93213636,5.3190913,MET,Other
741894708,-0.2545565,5.0419602,MET,Other
828778207,0.43423533,4.670283,MET,Other
739810705,-0.693794,5.389926,MET,Other
765143388,0.3639095,4.720295,MET,Other
827447865,-0.43426418,5.7984934,MET,Other
866999931,-0.74890393,6.0165176,MET,Other
711483359,-0.110570595,5.5776606,MET,Other
764929763,-0.33576575,5.0248814,MET,Other
650131308,-1.0997086,6.3262525,MET,Other
750795641,-0.9094313,5.738627,MET,Other
677042504,-1.3807074,5.9523273,MET,Other
680852136,-0.2781427,5.82981,MET,Other
682320370,0.11907427,5.7111464,MET,Other
682331689,-0.24599744,5.700048,MET,Other
732708277,-0.2728782,5.770019,MET,Other
812989401,-0.85143447,5.4806767,MET,Other
813000460,-0.092918195,4.869016,MET,Other
935760710,-0.5069585,5.8205714,MET,Other
993959787,-0.7953245,5.272762,MET,Other
637846989,0.630288,4.8051124,MET,Other
638205354,-0.9700507,6.106852,MET,Other
640311818,-0.98926306,5.9544578,MET,Other
642512300,0.3332259,4.840003,MET,Other
642521935,0.18242985,5.8272843,MET,Other
642532676,0.18304643,5.7109394,MET,Other
645023727,-0.7557975,5.985083,MET,Other
654356514,-1.2003682,6.2805285,MET,Other
667492234,-0.4129269,5.978513,MET,Other
701152294,-0.946781,6.2010202,MET,Other
709423277,0.10761218,5.9997196,MET,Other
711572656,-0.74679,6.6374836,MET,Other
